ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-01010,Italy,Tunisia,30,ITA
RO-01119,Italy,Tunisia,20,ITA
RO-01153,Italy,Tunisia,22,ITA
RO-01048,Austria,Afghanistan,12,AUT
RO-01048,Bulgaria,Afghanistan,4,BGR
RO-01048,Sweden,Afghanistan,25,SWE
RO-00975,Belgium,Albania,5,BEL
RO-00975,France,Albania,22,FRA
RO-00999,Germany,Ghana,20,DEU
RO-01047,Germany,Albania,51,DEU
RO-01047,Germany,Kosovo,39,DEU
RO-01102,Belgium,Albania,5,BEL
RO-01102,France,Albania,14,FRA
RO-01160,Germany,Somalia,3,DEU
RO-01296,Italy,Tunisia,14,ITA
RO-00891,Germany,Armenia,40,DEU
RO-00923,Italy,Tunisia,32,ITA
RO-00986,Austria,Russia,9,AUT
RO-01029,Finland,Albania,4,FIN
RO-01029,Germany,Albania,72,DEU
RO-01029,Germany,Kosovo,25,DEU
RO-01054,Finland,Ethiopia,4,FIN
RO-01054,Norway,Ethiopia,3,NOR
RO-01054,Sweden,Ethiopia,8,SWE
RO-01061,Germany,Tunisia,23,DEU
RO-01090,Germany,Bangladesh,33,DEU
RO-01090,Switzerland,Bangladesh,1,CHE
RO-01130,Belgium,Albania,5,BEL
RO-01130,France,Albania,11,FRA
RO-01176,Austria,Afghanistan,37,AUT
RO-01176,Bulgaria,Afghanistan,2,BGR
RO-01176,Hungary,Afghanistan,3,HUN
RO-01246,Italy,Tunisia,27,ITA
RO-01163,Germany,Afghanistan,44,DEU
RO-01257,Belgium,Albania,6,BEL
RO-01257,France,Albania,46,FRA
RO-01280,Italy,Egypt,36,ITA
RO-01300,Denmark,Iraq,4,DNK
RO-00896,Germany,Côte d'Ivoire,2,DEU
RO-00991,Italy,Tunisia,16,ITA
RO-01009,France,Georgia,5,FRA
RO-01009,Germany,Georgia,45,DEU
RO-01069,Belgium,Albania,3,BEL
RO-01069,France,Albania,21,FRA
RO-01060,Austria,Armenia,5,AUT
RO-01060,Austria,Georgia,6,AUT
RO-01060,Germany,Georgia,27,DEU
RO-01120,Italy,Tunisia,33,ITA
RO-01145,France,Albania,25,FRA
RO-01225,France,Georgia,33,FRA
RO-01137,Austria,Nigeria,19,AUT
RO-01137,France,Nigeria,5,FRA
RO-01137,Germany,Nigeria,6,DEU
RO-01137,Norway,Nigeria,2,NOR
RO-01137,Sweden,Nigeria,2,SWE
RO-01137,Switzerland,Nigeria,1,CHE
RO-01251,Belgium,Albania,2,BEL
RO-01251,Belgium,Georgia,2,BEL
RO-01251,Iceland,Georgia,6,ISL
RO-01251,Ireland,Albania,19,IRL
RO-01251,Ireland,Georgia,4,IRL
RO-00894,Austria,Pakistan,8,AUT
RO-00894,Germany,Pakistan,6,DEU
RO-00910,Germany,Albania,31,DEU
RO-00910,Germany,Kosovo,24,DEU
RO-00928,Belgium,Albania,5,BEL
RO-00928,France,Albania,28,FRA
RO-00945,Germany,Russia,56,DEU
RO-00964,Germany,Albania,20,DEU
RO-01039,Germany,Tunisia,21,DEU
RO-01041,Germany,Armenia,60,DEU
RO-01148,Germany,Kenya,2,DEU
RO-01185,Italy,Tunisia,38,ITA
RO-01254,Belgium,Albania,5,BEL
RO-01254,France,Albania,31,FRA
RO-01038,Germany,Georgia,47,DEU
RO-01038,Italy,Georgia,5,ITA
RO-01038,Sweden,Georgia,4,SWE
RO-01297,Italy,Tunisia,15,ITA
RO-00918,Germany,Tunisia,17,DEU
RO-00914,Germany,Sudan,1,DEU
RO-00914,Switzerland,Angola,2,CHE
