ROID,DATE,N_FX_STAFF
RO-00853,12/03/2019,1
RO-00855,11/06/2019,1
RO-00857,30/01/2019,1
RO-00858,27/02/2019,2
RO-00859,10/04/2019,1
RO-00860,15/03/2019,0
RO-00868,07/01/2019,0
RO-00869,18/02/2019,2
RO-00870,19/03/2019,0
RO-00871,22/01/2019,0
RO-00874,15/01/2019,2
RO-00875,14/02/2019,2
RO-00879,22/01/2019,1
RO-00882,24/01/2019,1
RO-00883,21/02/2019,1
RO-00884,26/03/2019,2
RO-00885,29/01/2019,1
RO-00886,16/01/2019,0
RO-00887,17/01/2019,1
RO-00888,15/01/2019,0
RO-00889,29/01/2019,0
RO-00891,03/01/2019,0
RO-00892,14/01/2019,0
RO-00894,05/02/2019,2
RO-00896,04/01/2019,0
RO-00898,08/01/2019,1
RO-00901,22/01/2019,1
RO-00902,15/01/2019,1
RO-00904,22/01/2019,1
RO-00905,29/01/2019,1
RO-00907,29/01/2019,0
RO-00910,05/02/2019,0
RO-00914,06/03/2019,1
RO-00915,13/03/2019,2
RO-00916,23/07/2019,1
RO-00918,06/02/2019,0
RO-00920,12/02/2019,0
RO-00923,03/01/2019,0
RO-00925,10/01/2019,0
RO-00926,26/02/2019,0
RO-00927,25/02/2019,0
RO-00928,05/02/2019,1
RO-00929,12/02/2019,1
RO-00930,19/02/2019,0
RO-00931,07/02/2019,1
RO-00932,26/02/2019,1
RO-00933,27/02/2019,1
RO-00934,17/01/2019,0
RO-00936,14/03/2019,0
RO-00937,09/02/2019,0
RO-00939,28/03/2019,1
RO-00941,22/01/2019,0
RO-00942,28/02/2019,0
RO-00943,14/02/2019,0
RO-00944,24/01/2019,0
RO-00945,05/03/2019,1
RO-00946,26/03/2019,0
RO-00947,07/05/2019,1
RO-00949,25/06/2019,1
RO-00950,24/09/2019,1
RO-00951,28/01/2019,0
RO-00952,11/04/2019,0
RO-00953,30/04/2019,0
RO-00954,07/03/2019,1
RO-00955,19/03/2019,1
RO-00956,12/03/2019,2
RO-00957,27/02/2019,0
RO-00958,26/03/2019,2
RO-00959,09/04/2019,2
RO-00960,14/03/2019,1
RO-00961,13/03/2019,0
RO-00962,11/02/2019,0
RO-00963,15/05/2019,0
RO-00964,05/04/2019,0
RO-00965,06/05/2019,1
RO-00966,22/05/2019,1
RO-00967,28/03/2019,1
RO-00970,26/06/2019,2
RO-00971,28/08/2019,1
RO-00973,24/07/2019,2
RO-00974,15/05/2019,1
RO-00975,02/04/2019,1
RO-00976,09/04/2019,1
RO-00977,16/04/2019,1
RO-00978,24/04/2019,1
RO-00980,09/04/2019,1
RO-00982,16/04/2019,1
RO-00983,19/03/2019,0
RO-00984,18/02/2019,0
RO-00985,19/02/2019,1
RO-00986,03/04/2019,0
RO-00987,10/04/2019,1
