YEAR,DEST,Germany,Italy,France,Spain,Austria,Sweden,Belgium,Greece,Hungary,Norway,Ireland,United Kingdom,Iceland,Switzerland,Netherlands,Finland,Poland,Luxembourg,Bulgaria,Malta,Romania,Denmark,Portugal,Lithuania,Czech Republic,The Netherlands,Slovakia,Slovenia,Cyprus,Latvia,Croatia,Estonia,Frontex
2006,all destinations,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,all destinations,45,93,34,130,24,0,3,0,0,1,0,17,0,44,28,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,all destinations,23,54,47,404,24,35,5,5,0,3,23,60,0,21,37,0,11,6,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0
2009,all destinations,152,138,68,236,211,156,7,25,24,31,216,131,4,65,48,2,78,12,0,5,1,0,0,0,4,0,1,1,3,1,0,0,0
2010,all destinations,226,100,52,343,405,143,5,86,13,67,111,176,1,2,50,51,80,5,0,16,0,0,0,0,2,0,2,2,3,0,0,0,0
2011,all destinations,390,104,49,550,182,142,26,20,14,215,185,113,0,36,43,45,21,1,3,12,1,9,17,0,1,0,2,0,0,0,0,0,0
2012,all destinations,647,195,62,354,184,200,5,24,42,79,101,0,0,6,24,9,18,33,6,48,6,0,6,0,1,0,0,0,0,0,0,0,0
2013,all destinations,455,128,105,542,81,195,60,79,28,52,64,42,39,6,24,26,29,0,41,2,6,5,6,0,0,0,0,2,0,0,0,0,0
2014,all destinations,473,119,155,334,80,148,59,165,288,93,0,41,1,12,14,60,65,34,31,18,2,17,3,13,0,0,3,0,0,0,0,0,0
2015,all destinations,1385,248,206,241,309,271,68,69,342,74,12,45,44,64,35,58,16,25,71,9,4,6,1,12,1,0,1,0,0,0,4,2,0
2016,all destinations,7256,800,283,362,317,324,182,204,140,92,0,47,189,87,58,67,6,30,8,4,1,14,1,9,0,0,1,0,0,0,0,0,2
2017,all destinations,8637,1992,1018,409,541,220,277,194,93,36,0,35,306,87,29,100,10,81,31,1,2,27,1,2,3,0,7,3,0,0,0,0,0
2018,all destinations,6854,2027,1082,616,701,132,259,68,29,13,0,0,83,86,141,29,6,9,8,0,0,0,4,2,0,0,1,3,0,0,0,0,0
2019,all destinations,5654,1863,1382,669,571,302,205,26,15,18,47,0,10,33,0,31,4,24,25,0,2,6,1,0,3,9,0,3,0,0,0,0,0
2020,all destinations,3851,1389,989,357,240,78,58,98,5,7,0,0,16,0,0,23,21,12,7,2,27,0,0,0,8,15,1,3,0,0,0,0,0
2021,all destinations,5400,2148,1322,507,284,80,22,162,15,11,0,0,6,21,0,3,17,23,13,0,44,0,1,2,10,0,1,2,0,0,0,0,0
2016,Afghanistan,34,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2017,Afghanistan,121,0,1,0,56,42,1,0,20,0,0,0,0,0,0,56,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
2018,Afghanistan,284,0,0,0,116,68,2,6,11,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Afghanistan,361,0,0,0,168,246,0,3,7,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Afghanistan,137,0,0,0,37,46,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Afghanistan,167,0,0,0,52,29,2,0,5,0,0,0,0,0,0,2,0,1,7,0,36,0,0,0,0,0,1,0,0,0,0,0,0
2007,Albania,0,1,5,0,0,0,1,0,0,0.5,0,8.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Albania,3.5,0,15.5,0,56,9,0,0,10.5,1.5,0,0,2,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
