OPTYPE,ROID,N_FX_STAFF,DATE
NRO,RO-00891,0,2019-01-03
NRO,RO-00923,0,2019-01-03
JRO,RO-00896,0,2019-01-04
JRO,RO-00868,0,2019-01-07
JRO,RO-00898,1,2019-01-08
NRO,RO-00925,0,2019-01-10
JRO,RO-00892,0,2019-01-14
JRO,RO-00874,2,2019-01-15
JRO,RO-00888,0,2019-01-15
CRO,RO-00902,1,2019-01-15
JRO,RO-00886,0,2019-01-16
CRO,RO-00887,1,2019-01-17
NRO,RO-00934,0,2019-01-17
NRO,RO-00871,0,2019-01-22
JRO,RO-00879,1,2019-01-22
JRO,RO-00901,1,2019-01-22
CRO,RO-00904,1,2019-01-22
NRO,RO-00941,0,2019-01-22
CRO,RO-00882,1,2019-01-24
NRO,RO-00944,0,2019-01-24
NRO,RO-00951,0,2019-01-28
CRO,RO-00885,1,2019-01-29
NRO,RO-00889,0,2019-01-29
CRO,RO-00905,1,2019-01-29
JRO,RO-00907,0,2019-01-29
JRO,RO-00857,1,2019-01-30
JRO,RO-00894,2,2019-02-05
NRO,RO-00910,0,2019-02-05
CRO,RO-00928,1,2019-02-05
NRO,RO-00918,0,2019-02-06
NRO,RO-00931,1,2019-02-07
NRO,RO-00937,0,2019-02-09
NRO,RO-00962,0,2019-02-11
JRO,RO-00920,0,2019-02-12
CRO,RO-00929,1,2019-02-12
JRO,RO-00875,2,2019-02-14
NRO,RO-00943,0,2019-02-14
JRO,RO-00869,2,2019-02-18
NRO,RO-00984,0,2019-02-18
CRO,RO-00930,0,2019-02-19
NRO,RO-00985,1,2019-02-19
CRO,RO-00883,1,2019-02-21
JRO,RO-00927,0,2019-02-25
NRO,RO-00926,0,2019-02-26
CRO,RO-00932,1,2019-02-26
JRO,RO-00858,2,2019-02-27
JRO,RO-00933,1,2019-02-27
NRO,RO-00957,0,2019-02-27
JRO,RO-00942,0,2019-02-28
NRO,RO-00991,0,2019-03-04
JRO,RO-00945,1,2019-03-05
JRO,RO-00914,1,2019-03-06
JRO,RO-00935,0,2019-03-07
CRO,RO-00954,1,2019-03-07
JRO,RO-00853,1,2019-03-12
CRO,RO-00956,2,2019-03-12
JRO,RO-00915,2,2019-03-13
JRO,RO-00961,0,2019-03-13
NRO,RO-00936,0,2019-03-14
JRO,RO-00960,1,2019-03-14
NRO,RO-00990,0,2019-03-14
NRO,RO-00997,0,2019-03-14
JRO,RO-00860,0,2019-03-15
NRO,RO-00998,0,2019-03-15
JRO,RO-00870,0,2019-03-19
CRO,RO-00955,1,2019-03-19
JRO,RO-00983,0,2019-03-19
CRO,RO-00884,2,2019-03-26
JRO,RO-00946,0,2019-03-26
CRO,RO-00958,2,2019-03-26
JRO,RO-00988,1,2019-03-26
JRO,RO-00939,1,2019-03-28
JRO,RO-00967,1,2019-03-28
NRO,RO-00996,1,2019-03-28
NRO,RO-01007,0,2019-03-29
JRO,RO-00993,0,2019-03-30
