ROID,MSNAME,DEST,N_RETURNEES,DATE,OPTYPE
RO-00853,Austria,Afghanistan,20,12/03/2019,JRO
RO-00853,Greece,Afghanistan,3,12/03/2019,JRO
RO-00853,Hungary,Afghanistan,2,12/03/2019,JRO
RO-00853,Sweden,Afghanistan,25,12/03/2019,JRO
RO-00855,Austria,Afghanistan,18,11/06/2019,JRO
RO-00855,Sweden,Afghanistan,25,11/06/2019,JRO
RO-00857,Austria,Nigeria,19,30/01/2019,JRO
RO-00857,Austria,Gambia,0,30/01/2019,JRO
RO-00857,Germany,Nigeria,10,30/01/2019,JRO
RO-00857,Germany,Gambia,1,30/01/2019,JRO
RO-00857,Italy,Gambia,7,30/01/2019,JRO
RO-00857,Norway,Nigeria,1,30/01/2019,JRO
RO-00857,Sweden,Nigeria,4,30/01/2019,JRO
RO-00857,Sweden,Gambia,1,30/01/2019,JRO
RO-00857,Switzerland,Nigeria,2,30/01/2019,JRO
RO-00858,Austria,Nigeria,27,27/02/2019,JRO
RO-00858,Austria,Gambia,2,27/02/2019,JRO
RO-00858,France,Nigeria,3,27/02/2019,JRO
RO-00858,Germany,Nigeria,21,27/02/2019,JRO
RO-00858,Sweden,Nigeria,1,27/02/2019,JRO
RO-00858,Sweden,Gambia,1,27/02/2019,JRO
RO-00858,Switzerland,Nigeria,3,27/02/2019,JRO
RO-00859,Austria,Nigeria,15,10/04/2019,JRO
RO-00859,France,Nigeria,3,10/04/2019,JRO
RO-00859,Germany,Nigeria,12,10/04/2019,JRO
RO-00859,Hungary,Nigeria,1,10/04/2019,JRO
RO-00859,Sweden,Nigeria,2,10/04/2019,JRO
RO-00860,Austria,Armenia,3,15/03/2019,JRO
RO-00860,Austria,Georgia,16,15/03/2019,JRO
RO-00860,Germany,Armenia,6,15/03/2019,JRO
RO-00868,Germany,Afghanistan,35,07/01/2019,JRO
RO-00869,Germany,Afghanistan,38,18/02/2019,JRO
RO-00870,Germany,Afghanistan,21,19/03/2019,JRO
RO-00871,Austria,Kosovo,8,22/01/2019,NRO
RO-00871,Austria,North Macedonia,3,22/01/2019,NRO
RO-00871,Austria,Serbia,5,22/01/2019,NRO
RO-00874,Austria,Georgia,7,15/01/2019,JRO
RO-00874,Austria,Uzbekistan,6,15/01/2019,JRO
RO-00874,Ireland,Georgia,8,15/01/2019,JRO
RO-00875,Austria,Russia,3,14/02/2019,JRO
RO-00875,Germany,Russia,4,14/02/2019,JRO
RO-00879,Germany,Pakistan,27,22/01/2019,JRO
RO-00882,France,Georgia,5,24/01/2019,CRO
RO-00882,Germany,Georgia,55,24/01/2019,CRO
RO-00882,Sweden,Georgia,1,24/01/2019,CRO
RO-00883,France,Georgia,2,21/02/2019,CRO
RO-00883,Germany,Georgia,72,21/02/2019,CRO
RO-00883,Luxembourg,Georgia,4,21/02/2019,CRO
RO-00884,France,Georgia,4,26/03/2019,CRO
RO-00884,Germany,Georgia,74,26/03/2019,CRO
RO-00885,Germany,Montenegro,34,29/01/2019,CRO
RO-00886,Germany,Tunisia,18,16/01/2019,JRO
RO-00887,Germany,Georgia,62,17/01/2019,CRO
RO-00887,Switzerland,Georgia,3,17/01/2019,CRO
RO-00888,Germany,Kosovo,17,15/01/2019,JRO
RO-00888,Germany,Albania,49,15/01/2019,JRO
RO-00889,Germany,North Macedonia,64,29/01/2019,NRO
RO-00889,Germany,Serbia,56,29/01/2019,NRO
RO-00891,Germany,Armenia,40,03/01/2019,NRO
RO-00892,Germany,Serbia,18,14/01/2019,JRO
RO-00892,Germany,Moldova,14,14/01/2019,JRO
RO-00894,Austria,Pakistan,8,05/02/2019,JRO
RO-00894,Germany,Pakistan,6,05/02/2019,JRO
RO-00896,Germany,Côte d'Ivoire,2,04/01/2019,JRO
RO-00896,Germany,Ghana,0,04/01/2019,JRO
RO-00898,Spain,Nigeria,2,08/01/2019,JRO
RO-00898,The Netherlands,Nigeria,0,08/01/2019,JRO
RO-00901,Germany,Bangladesh,27,22/01/2019,JRO
RO-00902,Belgium,Albania,3,15/01/2019,CRO
RO-00902,France,Albania,30,15/01/2019,CRO
RO-00904,Belgium,Albania,3,22/01/2019,CRO
RO-00904,France,Albania,21,22/01/2019,CRO
RO-00905,Belgium,Albania,5,29/01/2019,CRO
RO-00905,France,Albania,22,29/01/2019,CRO
RO-00907,Germany,Gambia,15,29/01/2019,JRO
RO-00910,Germany,Kosovo,24,05/02/2019,NRO
RO-00910,Germany,Albania,31,05/02/2019,NRO
RO-00914,Germany,Sudan,1,06/03/2019,JRO
RO-00914,Switzerland,Angola,2,06/03/2019,JRO
RO-00914,Switzerland,Sudan,5,06/03/2019,JRO
RO-00915,Greece,Pakistan,5,13/03/2019,JRO
RO-00915,Sweden,Pakistan,2,13/03/2019,JRO
RO-00916,Greece,Pakistan,17,23/07/2019,JRO
RO-00916,Sweden,Pakistan,2,23/07/2019,JRO
RO-00918,Germany,Tunisia,17,06/02/2019,NRO
RO-00920,Germany,Kosovo,23,12/02/2019,JRO
RO-00920,Germany,Albania,58,12/02/2019,JRO
RO-00923,Italy,Tunisia,32,03/01/2019,NRO
RO-00925,Italy,Tunisia,32,10/01/2019,NRO
RO-00926,Germany,Moldova,49,26/02/2019,NRO
RO-00926,Germany,Bosnia and Herzegovina,29,26/02/2019,NRO
RO-00927,Germany,Gambia,20,25/02/2019,JRO
RO-00928,Belgium,Albania,5,05/02/2019,CRO
RO-00928,France,Albania,28,05/02/2019,CRO
RO-00929,Belgium,Albania,5,12/02/2019,CRO
RO-00929,France,Albania,21,12/02/2019,CRO
RO-00930,Belgium,Albania,5,19/02/2019,CRO
RO-00930,France,Albania,21,19/02/2019,CRO
RO-00931,Spain,Georgia,12,07/02/2019,NRO
RO-00931,Spain,Albania,27,07/02/2019,NRO
RO-00932,Belgium,Albania,5,26/02/2019,CRO
RO-00932,France,Albania,29,26/02/2019,CRO
RO-00933,Finland,Colombia,5,27/02/2019,JRO
RO-00933,Spain,Colombia,56,27/02/2019,JRO
RO-00933,Spain,Dominican Republic,9,27/02/2019,JRO
RO-00934,Italy,Tunisia,16,17/01/2019,NRO
RO-00935,Germany,North Macedonia,23,07/03/2019,JRO
RO-00935,Germany,Serbia,39,07/03/2019,JRO
RO-00936,Germany,Kosovo,25,14/03/2019,NRO
RO-00936,Germany,Albania,31,14/03/2019,NRO
RO-00937,Italy,Nigeria,34,09/02/2019,NRO
RO-00939,Germany,Pakistan,30,28/03/2019,JRO
RO-00941,Italy,Egypt,22,22/01/2019,NRO
RO-00942,Germany,Turkey,4,28/02/2019,JRO
RO-00943,Finland,Iraq,4,14/02/2019,NRO
RO-00944,Italy,Tunisia,9,24/01/2019,NRO
RO-00945,Germany,Russia,56,05/03/2019,JRO
RO-00946,Germany,Kosovo,29,26/03/2019,JRO
RO-00946,Germany,Moldova,56,26/03/2019,JRO
RO-00947,Germany,Serbia,37,07/05/2019,CRO
RO-00949,Germany,Serbia,49,25/06/2019,CRO
RO-00950,Germany,Serbia,60,24/09/2019,CRO
RO-00951,Italy,Tunisia,16,28/01/2019,NRO
RO-00952,Germany,Kosovo,17,11/04/2019,JRO
RO-00952,Germany,Albania,84,11/04/2019,JRO
RO-00953,Germany,North Macedonia,75,30/04/2019,JRO
RO-00953,Germany,Serbia,72,30/04/2019,JRO
RO-00954,Belgium,Albania,5,07/03/2019,CRO
RO-00954,France,Albania,26,07/03/2019,CRO
RO-00955,Belgium,Albania,5,19/03/2019,CRO
RO-00955,France,Albania,22,19/03/2019,CRO
RO-00956,Belgium,Albania,5,12/03/2019,CRO
RO-00956,France,Albania,21,12/03/2019,CRO
RO-00957,Germany,Ghana,15,27/02/2019,NRO
RO-00958,Belgium,Albania,5,26/03/2019,CRO
RO-00958,France,Albania,30,26/03/2019,CRO
RO-00959,Germany,Lebanon,5,09/04/2019,JRO
RO-00960,Germany,Turkey,3,14/03/2019,JRO
RO-00961,Germany,Tunisia,21,13/03/2019,JRO
RO-00962,Italy,Tunisia,15,11/02/2019,NRO
RO-00963,Germany,Russia,35,15/05/2019,NRO
RO-00964,Germany,Albania,20,05/04/2019,JRO
RO-00965,Denmark,Nigeria,2,06/05/2019,JRO
RO-00965,Germany,Nigeria,24,06/05/2019,JRO
RO-00965,Germany,Ghana,5,06/05/2019,JRO
RO-00966,Germany,Georgia,55,22/05/2019,CRO
RO-00966,Iceland,Georgia,4,22/05/2019,CRO
RO-00966,Sweden,Georgia,1,22/05/2019,CRO
RO-00967,Germany,Bangladesh,27,28/03/2019,JRO
RO-00970,Austria,Nigeria,35,26/06/2019,JRO
RO-00970,Bulgaria,Nigeria,2,26/06/2019,JRO
RO-00970,Germany,Nigeria,10,26/06/2019,JRO
RO-00970,Hungary,Nigeria,3,26/06/2019,JRO
RO-00970,Switzerland,Nigeria,4,26/06/2019,JRO
RO-00971,Austria,Nigeria,27,28/08/2019,JRO
RO-00971,Germany,Nigeria,16,28/08/2019,JRO
RO-00971,Hungary,Nigeria,1,28/08/2019,JRO
RO-00971,Switzerland,Nigeria,3,28/08/2019,JRO
RO-00973,Austria,Nigeria,5,24/07/2019,JRO
RO-00973,Germany,Nigeria,13,24/07/2019,JRO
RO-00973,Sweden,Nigeria,1,24/07/2019,JRO
RO-00974,Austria,Nigeria,16,15/05/2019,JRO
RO-00974,Bulgaria,Nigeria,2,15/05/2019,JRO
RO-00974,Czech Republic,Nigeria,3,15/05/2019,JRO
RO-00974,Finland,Nigeria,2,15/05/2019,JRO
RO-00974,Germany,Nigeria,17,15/05/2019,JRO
RO-00974,Luxembourg,Nigeria,1,15/05/2019,JRO
RO-00974,Romania,Nigeria,2,15/05/2019,JRO
RO-00975,Belgium,Albania,5,02/04/2019,CRO
RO-00975,France,Albania,22,02/04/2019,CRO
RO-00976,Belgium,Albania,5,09/04/2019,CRO
RO-00976,France,Albania,38,09/04/2019,CRO
RO-00977,Belgium,Albania,5,16/04/2019,CRO
RO-00977,Finland,Albania,5,16/04/2019,CRO
RO-00977,France,Albania,29,16/04/2019,CRO
