ID,DATE,N_FX_STAFF,N_MONITORS
2018_9,2018-01-17T00:00:00Z,1,NA
2018_10,2018-01-17T00:00:00Z,1,NA
2018_12,2018-01-17T00:00:00Z,1,NA
2018_14,2018-01-19T00:00:00Z,1,NA
2018_17,2018-01-23T00:00:00Z,1,NA
2018_18,2018-01-23T00:00:00Z,1,NA
2018_24,2018-01-30T00:00:00Z,1,NA
2018_25,2018-01-31T00:00:00Z,1,NA
2018_28,2018-02-01T00:00:00Z,1,NA
2018_32,2018-02-06T00:00:00Z,1,NA
2018_39,2018-02-14T00:00:00Z,1,NA
2018_42,2018-02-19T00:00:00Z,1,NA
2018_48,2018-02-22T00:00:00Z,1,NA
2018_56,2018-03-01T00:00:00Z,1,NA
2018_62,2018-03-07T00:00:00Z,1,NA
2018_69,2018-03-15T00:00:00Z,2,NA
2018_77,2018-03-22T00:00:00Z,1,NA
2018_79,2018-03-26T00:00:00Z,1,NA
2018_89,2018-04-09T00:00:00Z,1,NA
2018_90,2018-04-10T00:00:00Z,1,NA
2018_103,2018-04-19T00:00:00Z,1,NA
2018_117,2018-05-08T00:00:00Z,2,NA
2018_121,2018-05-10T00:00:00Z,1,NA
2018_129,2018-05-16T00:00:00Z,1,NA
2018_130,2018-05-17T00:00:00Z,2,NA
2018_147,2018-06-07T00:00:00Z,1,NA
2018_154,2018-06-13T00:00:00Z,1,NA
2018_156,2018-06-19T00:00:00Z,1,NA
2018_161,2018-06-25T00:00:00Z,1,NA
2018_170,2018-07-05T00:00:00Z,1,NA
2018_175,2018-07-11T00:00:00Z,1,NA
2018_179,2018-07-18T00:00:00Z,1,NA
2018_181,2018-07-19T00:00:00Z,1,NA
2018_194,2018-08-07T00:00:00Z,1,NA
2018_196,2018-08-08T00:00:00Z,1,NA
2018_199,2018-08-08T00:00:00Z,1,NA
2018_218,2018-08-27T00:00:00Z,1,NA
2018_228,2018-09-04T00:00:00Z,1,NA
2018_229,2018-09-04T00:00:00Z,2,NA
2018_240,2018-09-18T00:00:00Z,1,NA
2018_241,2018-09-18T00:00:00Z,1,NA
2018_243,2018-09-19T00:00:00Z,1,NA
2018_245,2018-09-24T00:00:00Z,1,NA
2018_249,2018-09-26T00:00:00Z,1,NA
2018_252,2018-09-28T00:00:00Z,1,NA
2018_254,2018-10-02T00:00:00Z,1,NA
2018_256,2018-10-03T00:00:00Z,1,NA
2018_260,2018-10-09T00:00:00Z,1,NA
2018_266,2018-10-11T00:00:00Z,1,NA
2018_268,2018-10-16T00:00:00Z,1,NA
2018_273,2018-10-18T00:00:00Z,1,NA
2018_283,2018-10-29T00:00:00Z,1,NA
2018_290,2018-11-06T00:00:00Z,1,NA
2018_301,2018-11-14T00:00:00Z,2,NA
2018_303,2018-11-19T00:00:00Z,1,NA
2018_319,2018-12-01T00:00:00Z,1,NA
2018_323,2018-12-06T00:00:00Z,1,NA
2018_327,2018-12-11T00:00:00Z,1,NA
2018_333,2018-12-12T00:00:00Z,1,NA
2018_341,2018-12-18T00:00:00Z,3,NA
2017_17,2017-01-26T00:00:00Z,1,NA
2017_33,2017-02-16T00:00:00Z,1,NA
2017_81,2017-03-23T00:00:00Z,3,NA
2017_86,2017-03-29T00:00:00Z,1,NA
2017_93,2017-04-06T00:00:00Z,1,NA
2017_98,2017-04-19T00:00:00Z,1,NA
2017_104,2017-04-26T00:00:00Z,1,NA
2017_110,2017-04-28T00:00:00Z,1,NA
2017_112,2017-05-03T00:00:00Z,2,NA
2017_118,2017-05-09T00:00:00Z,1,NA
2017_124,2017-05-16T00:00:00Z,1,NA
2017_138,2017-05-30T00:00:00Z,1,NA
2017_142,2017-06-07T00:00:00Z,1,NA
2017_162,2017-06-22T00:00:00Z,1,NA
2017_165,2017-06-26T00:00:00Z,1,NA
2017_168,2017-06-29T00:00:00Z,1,NA
2017_172,2017-07-04T00:00:00Z,1,NA
2017_178,2017-07-12T00:00:00Z,1,NA
2017_184,2017-07-19T00:00:00Z,1,NA
2017_185,2017-07-19T00:00:00Z,1,NA
2017_187,2017-07-20T00:00:00Z,1,NA
2017_201,2017-08-10T00:00:00Z,1,NA
2017_206,2017-08-16T00:00:00Z,1,NA
2017_210,2017-08-22T00:00:00Z,1,NA
2017_211,2017-08-23T00:00:00Z,1,NA
2017_214,2017-08-24T00:00:00Z,1,NA
2017_215,2017-08-24T00:00:00Z,1,NA
2017_226,2017-09-05T00:00:00Z,1,NA
2017_227,2017-09-06T00:00:00Z,1,NA
2017_228,2017-09-06T00:00:00Z,1,NA
2017_230,2017-09-07T00:00:00Z,1,NA
2017_238,2017-09-13T00:00:00Z,1,NA
2017_249,2017-09-19T00:00:00Z,1,NA
2017_251,2017-09-20T00:00:00Z,1,NA
2017_252,2017-09-21T00:00:00Z,1,NA
2017_253,2017-09-22T00:00:00Z,1,NA
2017_255,2017-09-26T00:00:00Z,1,NA
2017_256,2017-09-27T00:00:00Z,1,NA
2017_259,2017-09-28T00:00:00Z,1,NA
2017_264,2017-10-05T00:00:00Z,1,NA
2017_266,2017-10-10T00:00:00Z,1,NA
2017_272,2017-10-17T00:00:00Z,1,NA
2017_276,2017-10-19T00:00:00Z,1,NA
2017_277,2017-10-19T00:00:00Z,1,NA
2017_278,2017-10-23T00:00:00Z,1,NA
2017_289,2017-11-08T00:00:00Z,1,NA
2017_299,2017-11-20T00:00:00Z,1,NA
2017_301,2017-11-21T00:00:00Z,1,NA
2017_304,2017-11-23T00:00:00Z,1,NA
2017_305,2017-11-23T00:00:00Z,1,NA
2017_310,2017-11-28T00:00:00Z,2,NA
2017_326,2017-12-11T00:00:00Z,1,NA
2017_328,2017-12-12T00:00:00Z,1,NA
2017_331,2017-12-13T00:00:00Z,1,NA
2017_339,2017-12-18T00:00:00Z,1,NA
2016_1,2016-01-19T00:00:00Z,2,NA
2016_2,2016-01-20T00:00:00Z,1,NA
2016_3,2016-01-21T00:00:00Z,1,NA
2016_4,2016-01-27T00:00:00Z,1,NA
2016_6,2016-02-11T00:00:00Z,1,NA
2016_7,2016-02-12T00:00:00Z,1,NA
2016_8,2016-02-18T00:00:00Z,1,NA
2016_9,2016-02-18T00:00:00Z,NA,1
2016_10,2016-02-24T00:00:00Z,1,NA
2016_11,2016-02-25T00:00:00Z,1,NA
2016_12,2016-02-25T00:00:00Z,3,NA
2016_13,2016-02-26T00:00:00Z,1,NA
2016_14,2016-03-08T00:00:00Z,1,NA
2016_15,2016-03-09T00:00:00Z,1,NA
2016_16,2016-03-10T00:00:00Z,NA,1
2016_18,2016-03-16T00:00:00Z,1,NA
2016_19,2016-03-17T00:00:00Z,1,NA
2016_20,2016-03-22T00:00:00Z,1,NA
2016_21,2016-03-23T00:00:00Z,1,NA
2016_22,2016-03-29T00:00:00Z,1,NA
2016_23,2016-04-05T00:00:00Z,1,NA
2016_26,2016-04-13T00:00:00Z,1,NA
2016_31,2016-04-19T00:00:00Z,1,NA
2016_33,2016-04-19T00:00:00Z,1,NA
2016_34,2016-04-21T00:00:00Z,1,NA
2016_42,2016-04-27T00:00:00Z,1,NA
2016_43,2016-04-27T00:00:00Z,1,NA
2016_47,2016-05-10T00:00:00Z,1,NA
2016_49,2016-05-11T00:00:00Z,2,NA
2016_71,2016-06-24T00:00:00Z,1,NA
2016_74,2016-06-29T00:00:00Z,1,NA
2016_77,2016-07-06T00:00:00Z,1,NA
2016_78,2016-07-12T00:00:00Z,1,NA
2016_82,2016-07-14T00:00:00Z,1,NA
2016_89,2016-07-26T00:00:00Z,1,NA
2016_92,2016-08-02T00:00:00Z,1,NA
2016_102,2016-08-18T00:00:00Z,1,NA
2016_118,2016-09-07T00:00:00Z,1,NA
2016_124,2016-09-13T00:00:00Z,1,NA
2016_138,2016-09-22T00:00:00Z,1,NA
2016_148,2016-09-29T00:00:00Z,1,NA
2016_151,2016-10-05T00:00:00Z,1,NA
2016_161,2016-10-13T00:00:00Z,1,NA
2016_180,2016-11-03T00:00:00Z,1,NA
2015_1,2015-01-20T00:00:00Z,1,NA
2015_2,2015-01-21T00:00:00Z,1,NA
2015_3,2015-01-28T00:00:00Z,1,NA
