"",RO-ID,RO Date,MSSAC,"EscortLeaders",Escorts,"FRESO airport CAT1","FRESO airport CAT2","FRESO HQ CAT1","FRESO HQCAT 2","FRESO CAT3",Medical Personnel,"Observers(MS)","Observers(TC)","Monitorsnational","Monitors fromPool (MS)","Monitors fromPool (FRO)"
"",RO-01178,07/01/2020,Germany,1,111,0,0,0,0,0,3,1,0,0,2,0
"",RO-01179,04/02/2020,Germany,1,96,0,0,0,0,0,2,0,0,0,2,0
"",RO-01179,04/02/2020,Poland,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01180,03/03/2020,Germany,1,91,0,0,0,0,0,2,0,0,0,2,0
"",RO-01180,03/03/2020,Austria,1,22,0,0,0,0,0,0,0,0,1,0,0
"",RO-01180,03/03/2020,Sweden,1,7,0,0,0,0,0,0,0,0,0,0,0
"",RO-01186,14/07/2020,Germany,1,74,0,0,0,0,0,2,0,0,0,1,0
"",RO-01186,14/07/2020,Greece,1,16,0,0,0,0,0,0,0,0,0,0,0
"",RO-01187,14/01/2020,Germany,1,104,0,0,0,0,0,1,0,0,0,2,0
"",RO-01188,12/02/2020,Germany,1,88,0,0,0,0,0,2,0,0,0,1,0
"",RO-01193,16/01/2020,Germany,1,38,0,0,0,0,0,1,2,0,0,2,0
"",RO-01193,16/01/2020,France,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01193,16/01/2020,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01194,11/02/2020,Germany,1,38,0,0,0,0,0,2,0,0,0,2,0
"",RO-01194,11/02/2020,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01195,05/03/2020,Germany,1,38,0,0,0,0,0,1,2,0,0,1,0
"",RO-01195,05/03/2020,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01195,05/03/2020,France,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01204,22/01/2020,Austria,1,35,0,0,0,0,0,3,0,0,1,0,0
"",RO-01204,22/01/2020,Germany,1,52,0,0,0,0,0,0,0,0,0,0,0
"",RO-01204,22/01/2020,Belgium,1,5,0,0,0,0,0,0,0,0,0,0,0
"",RO-01204,22/01/2020,Greece,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01205,19/02/2020,Austria,1,50,0,0,0,0,0,3,0,0,1,0,0
"",RO-01205,19/02/2020,Hungary,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01205,19/02/2020,Luxembourg,2,14,0,0,0,0,0,1,0,0,1,0,0
"",RO-01205,19/02/2020,Sweden,1,9,0,0,0,0,0,0,0,0,0,0,0
"",RO-01205,19/02/2020,Sweden,0,6,0,0,0,0,0,0,0,0,0,0,0
"",RO-01205,19/02/2020,Hungary,0,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01210,13/02/2020,Austria,1,15,0,0,0,0,0,3,2,0,1,0,0
"",RO-01211,07/05/2020,Austria,1,24,0,0,0,0,0,3,1,0,1,0,0
"",RO-01212,11/03/2020,Austria,1,18,0,0,0,0,0,3,1,0,1,0,0
"",RO-01219,05/02/2020,Sweden,2,62,0,0,0,0,0,2,0,0,1,0,0
"",RO-01219,05/02/2020,Bulgaria,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01219,05/02/2020,Austria,1,44,0,0,0,0,0,0,0,0,1,0,0
"",RO-01219,05/02/2020,Greece,1,4,0,0,0,0,0,0,0,0,1,0,0
"",RO-01220,04/03/2020,Sweden,2,58,0,0,0,0,0,2,3,0,1,0,0
"",RO-01220,04/03/2020,Bulgaria,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01231,06/02/2020,Germany,1,47,0,0,0,0,0,2,0,0,0,2,0
"",RO-01231,06/02/2020,Norway,1,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01233,26/02/2020,Germany,1,103,0,0,0,0,0,2,0,0,0,2,0
"",RO-01233,26/02/2020,Poland,1,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01237,30/01/2020,Germany,1,71,0,0,0,0,0,2,0,0,0,2,0
"",RO-01263,23/01/2020,Germany,1,45,0,0,0,0,0,2,0,0,0,1,0
"",RO-01263,23/01/2020,Finland,1,4,0,0,0,0,0,0,0,0,1,0,0
"",RO-01264,28/01/2020,Germany,1,43,0,0,0,0,0,2,0,0,0,1,0
"",RO-01281,03/03/2020,Germany,3,30,0,0,0,0,0,3,1,0,3,1,0
"",RO-01283,18/08/2020,Germany,1,122,0,0,0,0,0,2,0,0,0,0,0
"",RO-01283,18/08/2020,Austria,1,15,0,0,0,0,0,0,0,0,1,0,0
"",RO-01283,18/08/2020,Poland,1,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01284,07/09/2020,Germany,1,95,0,0,0,0,0,4,0,0,0,1,0
"",RO-01285,08/10/2020,Germany,1,107,0,0,0,0,0,2,0,0,0,1,0
"",RO-01285,08/10/2020,Poland,1,1,0,0,0,0,0,0,0,0,0,0,0
"",RO-01289,26/02/2020,Hungary,1,16,0,0,0,0,0,3,0,0,1,0,0
"",RO-01289,26/02/2020,Austria,1,23,0,0,0,0,0,0,1,0,1,0,0
"",RO-01289,26/02/2020,Bulgaria,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01291,22/01/2020,Germany,1,68,0,0,0,0,0,2,0,0,0,1,0
"",RO-01292,05/02/2020,Germany,1,70,0,0,0,0,0,2,0,0,0,1,0
"",RO-01294,18/02/2020,Germany,1,47,0,0,0,0,0,2,0,0,0,2,0
"",RO-01295,28/01/2020,Germany,1,65,0,0,0,0,0,4,0,0,0,1,0
"",RO-01298,27/02/2020,Germany,1,65,0,0,0,0,0,4,0,0,0,1,0
"",RO-01299,21/01/2020,Germany,1,44,0,0,0,0,0,2,2,0,0,2,0
"",RO-01299,21/01/2020,Belgium,2,16,0,0,0,0,0,0,0,0,2,0,0
"",RO-01304,18/02/2020,Germany,1,42,0,0,0,0,0,4,0,0,0,1,0
"",RO-01305,05/03/2020,Germany,1,31,0,0,0,0,0,4,0,0,0,1,0
"",RO-01306,15/06/2020,Germany,1,41,0,0,0,0,0,4,0,0,0,1,0
"",RO-01307,20/01/2020,Spain,1,68,0,0,0,0,0,2,0,0,2,0,0
"",RO-01311,07/01/2020,France,1,43,0,0,0,0,0,2,3,0,0,1,0
"",RO-01311,07/01/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01312,14/01/2020,France,1,43,0,0,0,0,0,2,3,0,0,1,0
"",RO-01312,14/01/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01313,21/01/2020,France,1,46,0,0,0,0,0,2,3,0,0,1,0
"",RO-01313,21/01/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01314,10/03/2020,Germany,1,46,0,0,0,0,0,2,0,0,0,1,0
"",RO-01314,10/03/2020,Finland,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01315,24/03/2020,Germany,1,19,0,0,0,0,0,2,0,0,0,0,0
"",RO-01317,28/01/2020,France,1,43,0,0,0,0,0,3,1,0,0,1,0
"",RO-01321,14/01/2020,Greece,1,52,0,0,0,0,0,1,0,0,2,0,0
"",RO-01321,14/01/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01322,19/02/2020,Germany,1,57,0,0,0,0,0,2,0,0,0,2,0
"",RO-01326,26/05/2020,Germany,1,33,0,0,0,0,0,2,0,0,0,1,0
"",RO-01328,23/06/2020,Germany,1,39,0,0,0,0,0,2,0,0,0,1,0
"",RO-01330,02/01/2020,Italy,1,44,0,0,0,0,0,2,0,0,0,0,0
"",RO-01331,21/01/2020,Italy,2,80,0,0,0,0,0,2,0,0,2,0,0
"",RO-01333,27/01/2020,Spain,1,67,0,0,0,0,0,2,0,0,2,0,0
"",RO-01334,13/01/2020,Italy,2,42,0,0,0,0,0,2,0,0,3,0,0
"",RO-01335,04/02/2020,France,1,46,0,0,0,0,0,2,3,0,0,1,0
"",RO-01335,04/02/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01336,11/02/2020,France,1,44,0,0,0,0,0,2,3,0,0,1,0
"",RO-01336,11/02/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01337,18/02/2020,France,0,47,0,0,0,0,0,2,0,0,1,1,0
"",RO-01337,18/02/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01338,25/02/2020,France,1,44,0,0,0,0,0,2,3,0,0,1,0
"",RO-01338,25/02/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01341,01/02/2020,Italy,3,108,0,0,0,0,0,2,0,0,3,0,0
"",RO-01342,03/03/2020,France,1,47,0,0,0,0,0,3,0,0,0,1,0
"",RO-01342,03/03/2020,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01343,10/03/2020,France,1,46,0,0,0,0,0,2,4,0,0,1,0
"",RO-01343,10/03/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01347,11/03/2020,Germany,1,93,0,0,0,0,0,2,0,0,0,1,0
"",RO-01348,23/01/2020,Italy,1,26,0,0,0,0,0,2,0,0,0,0,0
"",RO-01350,17/02/2020,Spain,1,76,0,0,0,0,0,2,0,0,2,0,0
"",RO-01351,02/03/2020,Spain,0,38,0,0,0,0,0,2,0,0,0,0,0
"",RO-01353,07/02/2020,Italy,2,59,0,0,0,0,0,2,0,0,2,0,0
"",RO-01354,25/02/2020,Spain,1,62,0,0,0,0,0,2,0,0,0,0,0
"",RO-01356,30/01/2020,Italy,2,35,0,0,0,0,0,2,0,0,2,0,0
"",RO-01357,18/03/2020,Germany,1,26,0,0,0,0,0,2,0,0,0,0,0
"",RO-01359,06/02/2020,Italy,2,57,0,0,0,0,0,2,0,0,0,0,0
"",RO-01363,27/02/2020,France,1,27,0,0,0,0,0,0,0,0,0,0,0
"",RO-ID,RO Date,MSSAC,"EscortLeaders",Escorts,"FRESO airport CAT1","FRESO airport CAT2","FRESO HQ CAT1","FRESO HQCAT 2","FRESO CAT3",Medical Personnel,"Observers(MS)","Observers(TC)","Monitorsnational","Monitors fromPool (MS)","Monitors fromPool (FRO)"
"",RO-01369,17/02/2020,Italy,1,34,0,0,0,0,0,2,0,0,0,0,0
"",RO-01370,24/02/2020,Italy,2,37,0,0,0,0,0,2,0,0,0,0,0
"",RO-01393,28/10/2020,Norway,1,12,0,0,0,0,0,1,0,0,0,0,0
"",RO-01401,18/06/2020,Austria,1,35,0,0,0,0,0,3,1,0,1,0,0
"",RO-01405,04/06/2020,Germany,1,39,0,0,0,0,0,2,0,0,0,1,0
"",RO-01409,20/07/2020,Germany,1,47,0,0,0,0,0,4,0,0,0,1,0
"",RO-01414,17/08/2020,Germany,1,59,0,0,0,0,0,2,0,0,0,1,0
"",RO-01415,19/08/2020,Germany,1,69,0,0,0,0,0,4,0,0,0,1,0
"",RO-01420,16/07/2020,Austria,1,51,0,0,0,0,0,3,1,0,1,0,0
"",RO-01421,10/06/2020,Germany,1,39,0,0,0,0,0,4,0,0,0,1,0
"",RO-01421,10/06/2020,Greece,0,19,0,0,0,0,0,0,0,0,2,0,0
"",RO-01425,15/06/2020,Germany,1,40,0,0,0,0,0,2,0,0,0,0,0
"",RO-01426,22/07/2020,Germany,1,68,0,0,0,0,0,2,0,0,0,1,0
"",RO-01428,28/07/2020,Germany,1,65,0,0,0,0,0,2,0,0,0,1,0
"",RO-01429,30/06/2020,France,2,39,0,0,0,0,0,1,1,0,0,0,0
"",RO-01430,16/06/2020,France,0,42,0,0,0,0,0,1,0,0,0,0,0
"",RO-01434,15/07/2020,Germany,1,57,0,0,0,0,0,4,0,0,0,1,0
"",RO-01435,30/07/2020,Germany,1,56,0,0,0,0,0,4,0,0,0,1,0
"",RO-01436,02/07/2020,Germany,1,59,0,0,0,0,0,4,0,0,0,1,0
"",RO-01436,02/07/2020,Sweden,1,9,0,0,0,0,0,0,0,0,0,0,0
"",RO-01437,08/07/2020,Germany,1,58,0,0,0,0,0,1,0,0,0,1,0
"",RO-01437,08/07/2020,Iceland,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01437,08/07/2020,Sweden,1,10,0,0,0,0,0,0,0,0,0,0,0
"",RO-01438,20/08/2020,Germany,2,19,0,0,0,0,0,1,0,0,0,1,0
"",RO-01438,20/08/2020,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01439,25/08/2020,Germany,1,75,0,0,0,0,0,2,0,0,0,1,0
"",RO-01441,10/09/2020,Germany,1,18,0,0,0,0,0,1,2,0,0,1,0
"",RO-01441,10/09/2020,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01442,16/07/2020,France,1,33,0,0,0,0,0,1,0,0,0,0,0
"",RO-01443,27/08/2020,Germany,1,31,0,0,0,0,0,2,0,0,0,0,0
"",RO-01444,02/09/2020,Germany,1,71,0,0,0,0,0,2,0,0,0,1,0
"",RO-01446,22/07/2020,Germany,1,43,0,0,0,0,0,1,0,0,0,1,0
"",RO-01448,17/09/2020,Austria,1,36,0,0,0,0,0,3,0,0,1,0,0
"",RO-01448,17/09/2020,Greece,1,29,0,0,0,0,0,0,0,0,1,0,0
"",RO-01454,30/09/2020,Germany,1,42,0,0,0,0,0,2,0,0,0,1,0
"",RO-01454,30/09/2020,Netherlands,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01456,16/07/2020,Italy,2,52,0,0,0,0,0,2,0,0,0,0,0
"",RO-01457,11/08/2020,Germany,1,42,0,0,0,0,0,4,0,0,0,0,0
"",RO-01458,30/09/2020,Germany,1,18,0,0,0,0,0,1,2,0,0,1,0
"",RO-01458,30/09/2020,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01458,30/09/2020,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0
"",RO-01460,04/08/2020,Germany,1,48,0,0,0,0,0,2,0,0,0,1,0
"",RO-01460,04/08/2020,Sweden,1,4,0,0,0,0,0,0,0,0,0,0,0
"",RO-01460,04/08/2020,Netherlands,1,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01460,04/08/2020,Italy,2,12,0,0,0,0,0,0,0,0,0,0,0
"",RO-01461,23/07/2020,Italy,1,49,0,0,0,0,0,2,0,0,0,0,0
"",RO-01462,24/07/2020,France,1,46,0,0,0,0,0,1,0,0,0,0,0
"",RO-01463,16/07/2020,Slovenia,1,2,0,0,0,0,0,0,0,0,0,0,0
"",RO-01464,22/07/2020,Finland,1,11,0,0,0,0,0,1,0,0,0,0,0
"",RO-01465,30/07/2020,France,1,32,0,0,0,0,0,1,0,0,0,0,0
"",RO-01466,26/08/2020,Germany,1,57,0,0,0,0,0,2,0,0,0,1,0
"",RO-01466,26/08/2020,Netherlands,1,3,0,0,0,0,0,0,0,0,0,0,0
"",RO-01467,27/07/2020,Italy,2,49,0,0,0,0,0,2,0,0,0,0,0
"",RO-01468,07/08/2020,Italy,2,90,0,0,0,0,0,2,0,0,0,0,0
"",RO-01469,12/08/2020,Germany,1,46,0,0,0,0,0,2,0,0,0,0,0
"",RO-01470,12/08/2020,France,1,38,0,0,0,0,0,1,1,0,0,0,0
"",RO-01471,19/08/2020,France,1,39,0,0,0,0,0,1,0,0,0,0,0
"",RO-01472,30/07/2020,Italy,2,43,0,0,0,0,0,2,0,0,0,0,0
"",RO-01474,03/08/2020,Italy,2,48,0,0,0,0,0,2,0,0,0,0,0
"",RO-01475,06/08/2020,Italy,2,45,0,0,0,0,0,2,0,0,0,0,0
"",RO-01478,02/09/2020,Germany,1,45,0,0,0,0,0,2,0,0,0,1,0
"",RO-01479,28/09/2020,Germany,1,78,0,0,0,0,0,2,0,0,0,1,0
"",RO-01479,28/09/2020,Sweden,1,9,0,0,0,0,0,2,0,0,0,0,0
"",RO-01480,10/08/2020,Italy,2,91,0,0,0,0,0,2,0,0,0,0,0
"",RO-01481,06/08/2020,Finland,1,10,0,0,0,0,0,1,0,0,0,0,0
"",RO-01482,20/08/2020,Finland,1,9,0,0,0,0,0,1,0,0,0,0,0
"",RO-01484,13/08/2020,Italy,3,88,0,0,0,0,0,2,0,0,0,0,0
"",RO-01485,26/08/2020,France,1,40,0,0,0,0,0,1,0,0,0,0,0
"",RO-01486,02/09/2020,France,1,43,0,0,0,0,0,1,0,0,0,0,0
"",RO-01487,10/09/2020,France,1,39,0,0,0,0,0,1,0,0,0,0,0
"",RO-01489,17/08/2020,Italy,2,94,0,0,0,0,0,2,0,0,0,0,0
"",RO-01490,20/08/2020,Italy,2,88,0,0,0,0,0,2,0,0,0,0,0
"",RO-01491,01/09/2020,Germany,1,65,0,0,0,0,0,1,0,0,0,1,0
"",RO-01492,15/09/2020,France,1,34,0,0,0,0,0,2,0,0,0,1,0
"",RO-01493,29/09/2020,France,1,42,0,0,0,0,0,3,0,0,0,1,0
"",RO-01494,27/08/2020,Italy,2,91,0,0,0,0,0,2,0,0,0,0,0
"",RO-01495,24/08/2020,Italy,2,87,0,0,0,0,0,2,0,0,0,0,0
"",RO-01496,15/10/2020,Germany,1,18,0,0,0,0,0,1,1,0,0,1,0
"",RO-01497,06/10/2020,Germany,1,40,0,0,0,0,0,2,0,0,2,2,0
"",RO-01497,06/10/2020,Iceland,1,8,0,0,0,0,0,0,0,0,1,0,0
"",RO-01498,07/10/2020,Germany,1,68,0,0,0,0,0,2,0,0,0,1,0
"",RO-01508,24/09/2020,Germany,1,74,0,0,0,0,0,4,0,0,0,1,0
"",RO-01509,30/09/2020,Germany,1,91,0,0,0,0,0,2,0,0,0,0,0
"",RO-01510,06/10/2020,France,1,42,0,0,0,0,0,3,3,0,0,1,0
"",RO-01511,24/11/2020,Germany,1,85,0,0,0,0,0,2,0,0,0,1,0
"",RO-01512,13/10/2020,France,1,46,0,0,0,0,0,2,0,0,0,1,0
"",RO-01513,20/10/2020,France,1,46,0,0,0,0,0,2,3,0,0,1,0
