RO-ID,Date,MS/SAC,TOTAL PAID
RO-01656,04/01/2021,ITA,"€                                                    2 9,461.70"
RO-01604,06/01/2021,FRA,"€                                                    4 2,619.36"
RO-01658,07/01/2021,ITA,"€                                                    3 3,259.30"
RO-01632,07/01/2021,LUX,"€                                                    3 1,365.29"
RO-01609,12/01/2021,DEU,"€                                                  4 10,884.88"
RO-01607,12/01/2021,FRA,"€                                                    4 3,965.98"
RO-01605,13/01/2021,DEU,"€                                                    8 4,990.35"
RO-01606,15/01/2021,DEU,"€                                                    7 1,263.38"
RO-01606,15/01/2021,AUT,"€                                                    2 3,145.16"
RO-01660,15/01/2021,ITA,"€                                                    5 8,428.50"
RO-01627,18/01/2021,DEU,"€                                                  3 28,134.81"
RO-01627,18/01/2021,ROU,"€                                                      3,011.82"
RO-01615,19/01/2021,FRA,"€                                                    4 4,628.22"
RO-01616,19/01/2021,DEU,"€                                                  3 97,266.40"
RO-01616,19/01/2021,HUN,"€                                                      1,975.38"
RO-01616,19/01/2021,AUT,"€                                                    1 4,354.12"
RO-01614,19/01/2021,DEU,"€                                                    9 2,617.15"
RO-01612,19/01/2021,DEU,"€                                                  1 52,876.18"
RO-01671,21/01/2021,ITA,"€                                                    6 9,679.90"
RO-01611,21/01/2021,DEU,"€                                                    7 1,747.43"
RO-01610,21/01/2021,DEU,"€                                                    7 8,852.47"
RO-01610,21/01/2021,FRA,"€                                                    1 3,281.65"
RO-01657,22/01/2021,DEU,"€                                                    6 4,628.06"
RO-01628,26/01/2021,GRC,€                                                              -
RO-01619,26/01/2021,FRA,"€                                                    4 3,907.72"
RO-01618,26/01/2021,DEU,"€                                                  1 63,633.72"
RO-01659,27/01/2021,DEU,"€                                                  1 39,793.79"
RO-01625,27/01/2021,CHE,"€                                                  1 99,485.43"
RO-01625,27/01/2021,DEU,"€                                                    2 9,033.31"
RO-01626,28/01/2021,AUT,"€                                                      6,556.65"
RO-01626,28/01/2021,CHE,"€                                                    2 0,255.27"
RO-01626,28/01/2021,DEU,"€                                                  1 25,109.01"
RO-01698,28/01/2021,ITA,"€                                                    7 0,467.70"
RO-01663,29/01/2021,FRA,"€                                                    7 8,002.30"
RO-01635,29/01/2021,DEU,"€                                                    7 8,118.77"
RO-01637,02/02/2021,DEU,"€                                                    7 1,794.56"
RO-01639,02/02/2021,DEU,"€                                                    6 6,335.10"
RO-01636,02/02/2021,FRA,"€                                                    4 3,615.61"
RO-01669,04/02/2021,DEU,"€                                                    8 4,909.72"
RO-01706,08/02/2021,ITA,"€                                                    7 4,639.00"
RO-01644,09/02/2021,DEU,"€                                                  4 09,055.23"
RO-01642,09/02/2021,DEU,"€                                                  1 57,995.09"
RO-01642,09/02/2021,BEL,€                                                         493.83
RO-01640,09/02/2021,FRA,"€                                                    4 4,530.18"
RO-01653,10/02/2021,AUT,"€                                                  3 37,837.56"
RO-01653,10/02/2021,GRC,€                                                              -
RO-01653,10/02/2021,SVN,€                                                         583.86
RO-01723,11/02/2021,ITA,"€                                                    3 4,340.00"
RO-01643,11/02/2021,DEU,"€                                                  1 06,774.20"
RO-01643,11/02/2021,ITA,"€                                                    6 4,337.00"
RO-01641,11/02/2021,DEU,"€                                                    7 1,190.44"
RO-01725,15/02/2021,ITA,"€                                                    6 6,559.00"
RO-01645,16/02/2021,FRA,"€                                                    4 3,631.03"
RO-01654,17/02/2021,DEU,"€                                                  3 16,443.71"
RO-01724,18/02/2021,ITA,"€                                                    7 3,326.00"
RO-ID,Date,MS/SAC,TOTAL PAID
RO-01729,22/02/2021,ITA,"€                                                    7 4,235.00"
RO-01665,23/02/2021,DEU,"€                                                  1 66,582.20"
RO-01668,23/02/2021,DEU,"€                                                  1 09,210.21"
RO-01648,23/02/2021,SWE,"€                                                  5 51,705.46"
RO-01648,23/02/2021,LUX,"€                                                    2 9,664.39"
RO-01648,23/02/2021,AUT,"€                                                      6,801.34"
RO-01648,23/02/2021,BGR,"€                                                      5,246.95"
RO-01648,23/02/2021,BEL,"€                                                      5,697.33"
RO-01648,23/02/2021,HUN,"€                                                      1,453.84"
RO-01648,23/02/2021,SVK,€                                                         212.10
RO-01647,23/02/2021,FRA,"€                                                    4 7,783.58"
RO-01707,25/02/2021,DEU,"€                                                    7 5,655.68"
RO-01667,25/02/2021,DEU,"€                                                    8 1,151.40"
RO-01650,25/02/2021,DEU,"€                                                    6 4,981.46"
RO-01736,01/03/2021,ITA,"€                                                    7 3,326.00"
RO-01737,02/03/2021,FRA,"€                                                    4 3,316.88"
RO-01704,02/03/2021,GRC,€                                                              -
RO-01675,03/03/2021,DEU,"€                                                  1 58,531.48"
RO-01675,03/03/2021,FIN,"€                                                    3 5,556.04"
RO-01675,03/03/2021,SWE,"€                                                    1 3,959.74"
RO-01674,03/03/2021,DEU,"€                                                    8 5,263.68"
RO-01739,04/03/2021,ITA,"€                                                    7 6,255.00"
RO-01705,04/03/2021,DEU,"€                                                    4 9,329.44"
RO-01743,08/03/2021,ITA,"€                                                    7 7,265.00"
RO-01740,09/03/2021,FRA,"€                                                    4 3,269.92"
RO-01679,09/03/2021,DEU,"€                                                  4 13,143.11"
RO-01746,11/03/2021,ITA,"€                                                    5 8,580.00"
RO-01678,11/03/2021,AUT,"€                                                    1 6,432.70"
RO-01678,11/03/2021,CZE,"€                                                      1,169.58"
RO-01678,11/03/2021,SWE,"€                                                    2 7,361.24"
RO-01678,11/03/2021,GRC,€                                                              -
RO-01676,11/03/2021,DEU,"€                                                    9 9,985.62"
RO-01676,11/03/2021,ISL,"€                                                    5 7,741.43"
RO-01677,12/03/2021,DEU,"€                                                    7 5,535.54"
RO-01744,16/03/2021,FRA,"€                                                    4 3,129.02"
RO-01683,16/03/2021,DEU,"€                                                  3 24,562.74"
RO-01683,16/03/2021,POL,"€                                                      2,590.12"
RO-01682,16/03/2021,DEU,"€                                                  1 52,419.89"
RO-01682,16/03/2021,BEL,€                                                         493.83
RO-01682,16/03/2021,SWE,"€                                                    2 4,109.65"
RO-01765,18/03/2021,ITA,"€                                                    6 0,589.90"
RO-01747,19/03/2021,ITA,"€                                                    8 5,850.00"
RO-01681,19/03/2021,DEU,"€                                                    9 3,147.01"
RO-01681,19/03/2021,SWE,"€                                                    3 1,517.82"
RO-01768,22/03/2021,ITA,"€                                                    6 9,488.00"
RO-01745,23/03/2021,FRA,"€                                                    4 3,316.88"
RO-01687,23/03/2021,DEU,"€                                                  1 59,645.39"
RO-01686,23/03/2021,DEU,"€                                                  4 06,747.88"
RO-01686,23/03/2021,SWE,"€                                                    4 6,981.37"
RO-01685,23/03/2021,ESP,"€                                                  4 43,528.77"
RO-01685,23/03/2021,SWE,"€                                                    6 7,093.89"
RO-01685,23/03/2021,POL,"€                                                      3,899.96"
RO-01685,23/03/2021,PRT,€                                                         557.52
RO-01732,24/03/2021,DEU,"€                                                    7 4,502.66"
RO-01684,25/03/2021,DEU,"€                                                  1 07,627.06"
RO-ID,Date,MS/SAC,TOTAL PAID
RO-01684,25/03/2021,ITA,"€                                                    7 1,912.00"
RO-01772,25/03/2021,ITA,"€                                                    3 4,542.00"
RO-01702,29/03/2021,DEU,"€                                                    6 6,125.51"
RO-01702,29/03/2021,NOR,"€                                                    1 4,800.08"
RO-01773,29/03/2021,ITA,"€                                                    8 0,295.00"
RO-01749,30/03/2021,FRA,"€                                                    4 3,316.88"
RO-01691,30/03/2021,SWE,"€                                                  5 58,537.63"
RO-01691,30/03/2021,AUT,"€                                                      7,689.64"
RO-01691,30/03/2021,BGR,"€                                                      3,026.97"
RO-01691,30/03/2021,ROU,"€                                                      2,121.04"
RO-01691,30/03/2021,HUN,"€                                                      1,857.96"
RO-01689,30/03/2021,DEU,"€                                                  3 72,184.19"
RO-01689,30/03/2021,CHE,"€                                                    3 7,010.02"
RO-01703,31/03/2021,DEU,"€                                                  1 48,145.89"
RO-01690,31/03/2021,DEU,"€                                                    9 3,656.29"
RO-01774,01/04/2021,ITA,"€                                                    7 2,316.00"
RO-01734,06/04/2021,FRA,"€                                                    4 4,035.12"
RO-01734,06/04/2021,LUX,"€                                                      2,317.18"
RO-01710,07/04/2021,DEU,"€                                                  4 02,919.85"
RO-01709,08/04/2021,DEU,"€                                                  1 07,157.06"
RO-01709,08/04/2021,FRA,"€                                                      4,073.33"
RO-01709,08/04/2021,ITA,"€                                                    3 5,249.00"
RO-01673,08/04/2021,AUT,"€                                                      5,248.97"
RO-01673,08/04/2021,BEL,€                                                           47.65
RO-01775,08/04/2021,ITA,"€                                                    8 0,749.50"
RO-01735,13/04/2021,FRA,"€                                                    4 3,450.06"
RO-01735,13/04/2021,BEL,€                                                         103.22
RO-01712,13/04/2021,DEU,"€                                                    8 2,796.81"
RO-01776,13/04/2021,ITA,"€                                                    8 5,850.00"
RO-01713,14/04/2021,ESP,"€                                                  1 95,975.96"
RO-01713,14/04/2021,DEU,"€                                                    1 4,577.68"
RO-01711,14/04/2021,DEU,"€                                                  1 06,283.33"
RO-01711,14/04/2021,FRA,"€                                                    1 0,483.76"
RO-01714,14/04/2021,AUT,"€                                                    1 4,686.41"
RO-01714,14/04/2021,CHE,"€                                                    1 6,219.66"
RO-01714,14/04/2021,SWE,"€                                                    3 4,577.04"
RO-01714,14/04/2022,GRC,€                                                              -
RO-01782,15/04/2021,ITA,"€                                                    8 0,396.00"
RO-01726,15/04/2021,DEU,"€                                                    7 6,288.42"
RO-01783,19/04/2021,ITA,"€                                                    8 0,295.00"
RO-01733,20/04/2021,FRA,"€                                                    4 4,052.19"
RO-01727,20/04/2021,DEU,"€                                                  3 28,018.44"
