ROID,RO Date,Observer,Frontex representative on board
RO-01656,04/01/2021,0,0
RO-01604,06/01/2021,3,0
RO-01632,07/01/2021,1,0
RO-01658,07/01/2021,0,0
RO-01607,12/01/2021,4,0
RO-01609,12/01/2021,0,0
RO-01605,13/01/2021,0,0
RO-01606,15/01/2021,0,0
RO-01660,15/01/2021,0,0
RO-01627,18/01/2021,0,0
RO-01612,19/01/2021,0,0
RO-01614,19/01/2021,0,0
RO-01615,19/01/2021,3,0
RO-01616,19/01/2021,0,0
RO-01610,21/01/2021,0,0
RO-01611,21/01/2021,0,0
RO-01671,21/01/2021,0,0
RO-01657,22/01/2021,0,0
RO-01618,26/01/2021,0,0
RO-01619,26/01/2021,3,2
RO-01628,26/01/2021,0,0
RO-01625,27/01/2021,0,1
RO-01659,27/01/2021,0,0
RO-01626,28/01/2021,0,0
RO-01698,28/01/2021,0,0
RO-01635,29/01/2021,0,0
RO-01663,29/01/2021,0,0
RO-01636,02/02/2021,0,0
RO-01637,02/02/2021,2,0
RO-01639,02/02/2021,0,0
RO-01669,04/02/2021,0,0
RO-01706,08/02/2021,0,0
RO-01640,09/02/2021,3,0
RO-01642,09/02/2021,0,0
RO-01644,09/02/2021,1,0
RO-01653,10/02/2021,1,2
RO-01641,11/02/2021,0,0
RO-01643,11/02/2021,0,0
RO-01723,11/02/2021,0,0
RO-01725,15/02/2021,0,0
RO-01645,16/02/2021,3,0
RO-01654,17/02/2021,1,1
RO-01724,18/02/2021,0,0
RO-01729,22/02/2021,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01647,23/02/2021,3,1
RO-01648,23/02/2021,0,1
RO-01665,23/02/2021,0,0
RO-01668,23/02/2021,0,0
RO-01650,25/02/2021,0,0
RO-01667,25/02/2021,0,0
RO-01707,25/02/2021,0,0
RO-01736,01/03/2021,0,0
RO-01704,02/03/2021,0,0
RO-01737,02/03/2021,0,0
RO-01674,03/03/2021,0,0
RO-01675,03/03/2021,1,0
RO-01705,04/03/2021,0,0
RO-01739,04/03/2021,0,0
RO-01743,08/03/2021,0,0
RO-01679,09/03/2021,1,0
RO-01740,09/03/2021,0,0
RO-01676,11/03/2021,2,0
RO-01678,11/03/2021,0,0
RO-01746,11/03/2021,0,0
RO-01677,12/03/2021,0,0
RO-01682,16/03/2021,0,1
RO-01683,16/03/2021,0,0
RO-01744,16/03/2021,0,0
RO-01765,18/03/2021,0,0
RO-01681,19/03/2021,0,0
RO-01747,19/03/2021,0,0
RO-01768,22/03/2021,0,0
RO-01685,23/03/2021,0,0
RO-01686,23/03/2021,0,1
RO-01687,23/03/2021,0,0
RO-01745,23/03/2021,0,1
RO-01732,24/03/2021,0,0
RO-01684,25/03/2021,2,0
RO-01772,25/03/2021,0,0
RO-01702,29/03/2021,0,0
RO-01773,29/03/2021,0,0
RO-01689,30/03/2021,0,0
RO-01691,30/03/2021,0,1
RO-01749,30/03/2021,0,0
RO-01690,31/03/2021,1,0
RO-01703,31/03/2021,0,0
RO-01774,01/04/2021,0,0
RO-01734,06/04/2021,3,0
ROID,RO Date,Observer,Frontex representative on board
RO-01710,07/04/2021,0,1
RO-01673,08/04/2021,1,0
RO-01709,08/04/2021,3,0
RO-01775,08/04/2021,0,0
RO-01712,13/04/2021,0,0
RO-01735,13/04/2021,0,1
RO-01776,13/04/2021,0,0
RO-01711,14/04/2021,0,0
RO-01713,14/04/2021,0,0
RO-01714,14/04/2021,2,0
RO-01726,15/04/2021,0,0
RO-01782,15/04/2021,0,0
RO-01783,19/04/2021,0,0
RO-01727,20/04/2021,0,0
RO-01733,20/04/2021,0,0
RO-01717,21/04/2021,0,0
RO-01715,22/04/2021,0,0
RO-01784,22/04/2021,0,0
RO-01802,26/04/2021,0,0
RO-01741,27/04/2021,0,0
RO-01785,27/04/2021,0,0
RO-01720,28/04/2021,0,1
RO-01719,29/04/2021,0,0
RO-01721,29/04/2021,0,1
RO-01807,03/05/2021,0,0
RO-01778,04/05/2021,0,0
RO-01699,06/05/2021,0,0
RO-01750,06/05/2021,2,0
RO-01815,10/05/2021,0,0
RO-01753,11/05/2021,0,0
RO-01769,11/05/2021,0,0
RO-01771,11/05/2021,1,1
RO-01779,11/05/2021,0,0
RO-01757,17/05/2021,0,0
RO-01839,17/05/2021,0,0
RO-01756,18/05/2021,2,0
RO-01766,18/05/2021,0,0
RO-01770,18/05/2021,1,0
RO-01780,18/05/2021,3,0
RO-01758,19/05/2021,0,0
RO-01755,20/05/2021,2,2
RO-01759,20/05/2021,3,1
RO-01837,21/05/2021,0,0
RO-01840,24/05/2021,0,0
ROID,RO Date,Observer,Frontex representative on board
RO-01781,25/05/2021,3,1
RO-01760,26/05/2021,0,0
RO-01806,26/05/2021,0,0
RO-01786,27/05/2021,1,0
RO-01843,27/05/2021,0,0
RO-01762,01/06/2021,1,0
RO-01763,01/06/2021,0,0
RO-01764,01/06/2021,0,0
RO-01809,01/06/2021,3,0
RO-01787,02/06/2021,0,0
RO-01838,02/06/2021,2,1
RO-01847,04/06/2021,0,0
RO-01849,07/06/2021,0,0
RO-01789,08/06/2021,1,0
RO-01810,08/06/2021,3,1
RO-01805,09/06/2021,1,1
RO-01788,10/06/2021,2,1
RO-01851,14/06/2021,0,0
RO-01790,15/06/2021,3,0
