DEST,MSNAME,N_RETURNEES
Albania,Germany,10379
Tunisia,Germany,1628
Georgia,Germany,7452
Kosovo,Germany,7026
Serbia,Germany,9038
Nigeria,Germany,1952
North Macedonia,Germany,5870
Moldova,Germany,4595
Pakistan,Germany,1922
Colombia,Germany,8
Afghanistan,Germany,1104
Armenia,Germany,1320
Egypt,Germany,137
Iraq,Germany,662
Russia,Germany,871
Albania,Italy,78
Tunisia,Italy,14518
Georgia,Italy,249
Serbia,Italy,3
Nigeria,Italy,2382
North Macedonia,Italy,1
Pakistan,Italy,54
Colombia,Italy,7
Armenia,Italy,7
Egypt,Italy,1482
Albania,France,8355
Georgia,France,1001
Kosovo,France,155
Serbia,France,23
Nigeria,France,119
North Macedonia,France,1
Moldova,France,7
Pakistan,France,54
Colombia,France,12
Armenia,France,21
Egypt,France,1
Iraq,France,14
Albania,Spain,847
Georgia,Spain,879
Serbia,Spain,11
Nigeria,Spain,543
North Macedonia,Spain,2
Pakistan,Spain,230
Colombia,Spain,3071
Armenia,Spain,11
Albania,Austria,66
Georgia,Austria,545
Kosovo,Austria,1220
Serbia,Austria,65
Nigeria,Austria,1136
North Macedonia,Austria,69
Pakistan,Austria,241
Colombia,Austria,3
Afghanistan,Austria,429
Armenia,Austria,223
Egypt,Austria,3
Iraq,Austria,70
Russia,Austria,218
Albania,Sweden,491
Georgia,Sweden,223
Kosovo,Sweden,316
Serbia,Sweden,365
Nigeria,Sweden,328
North Macedonia,Sweden,25
Moldova,Sweden,5
Pakistan,Sweden,57
Colombia,Sweden,11
Afghanistan,Sweden,444
Armenia,Sweden,91
Iraq,Sweden,266
Russia,Sweden,6
Georgia,Greece,499
Nigeria,Greece,184
Pakistan,Greece,1200
Afghanistan,Greece,11
Armenia,Greece,3
Egypt,Greece,1
Albania,Belgium,769
Georgia,Belgium,37
Kosovo,Belgium,33
Serbia,Belgium,42
Nigeria,Belgium,93
North Macedonia,Belgium,9
Moldova,Belgium,1
Pakistan,Belgium,31
Colombia,Belgium,2
Afghanistan,Belgium,5
Armenia,Belgium,22
Iraq,Belgium,8
Russia,Belgium,5
Albania,Poland,4
Georgia,Poland,311
Kosovo,Poland,2
Nigeria,Poland,53
Pakistan,Poland,34
Colombia,Poland,4
Armenia,Poland,10
Egypt,Poland,1
Iraq,Poland,8
Russia,Poland,44
Albania,Hungary,12
Georgia,Hungary,22
Kosovo,Hungary,802
Nigeria,Hungary,99
Pakistan,Hungary,79
Colombia,Hungary,1
Afghanistan,Hungary,43
Armenia,Hungary,5
Egypt,Hungary,3
Russia,Hungary,1
Albania,Iceland,330
Georgia,Iceland,85
Kosovo,Iceland,12
Serbia,Iceland,4
Nigeria,Iceland,9
North Macedonia,Iceland,263
Colombia,Iceland,8
Armenia,Iceland,2
Iraq,Iceland,3
Albania,Finland,78
Georgia,Finland,21
Kosovo,Finland,154
Serbia,Finland,16
Nigeria,Finland,101
North Macedonia,Finland,3
Pakistan,Finland,14
Colombia,Finland,5
Afghanistan,Finland,62
Armenia,Finland,4
Iraq,Finland,402
Georgia,Norway,15
Kosovo,Norway,79
Serbia,Norway,7
Nigeria,Norway,490
Pakistan,Norway,22
Egypt,Norway,2
Iraq,Norway,104
Russia,Norway,1
Albania,United Kingdom,155
Georgia,United Kingdom,2
Kosovo,United Kingdom,7
Nigeria,United Kingdom,456
Pakistan,United Kingdom,43
Iraq,United Kingdom,28
Albania,Ireland,34
Georgia,Ireland,57
Serbia,Ireland,5
Nigeria,Ireland,523
Pakistan,Ireland,55
