DEST,MSNAME,N_RETURNEES
Afghanistan,Austria,429
Afghanistan,Belgium,5
Afghanistan,Bulgaria,30
Afghanistan,Denmark,19
Afghanistan,Finland,62
Afghanistan,Germany,1104
Afghanistan,Greece,11
Afghanistan,Hungary,43
Afghanistan,Luxembourg,1
Afghanistan,Romania,36
Afghanistan,Slovakia,1
Afghanistan,Slovenia,2
Afghanistan,Sweden,444
Albania,Austria,66
Albania,Belgium,769
Albania,Bulgaria,1
Albania,Denmark,1
Albania,Estonia,1
Albania,Finland,78
Albania,France,8355
Albania,Frontex,0
Albania,Germany,10379
Albania,Hungary,12
Albania,Iceland,330
Albania,Ireland,34
Albania,Italy,78
Albania,Luxembourg,73
Albania,Netherlands,200
Albania,Poland,4
Albania,Portugal,1
Albania,Spain,847
Albania,Sweden,491
Albania,Switzerland,6
Albania,United Kingdom,155
Angola,Switzerland,2
Armenia,Austria,223
Armenia,Belgium,22
Armenia,Bulgaria,3
Armenia,Finland,4
Armenia,France,21
Armenia,Germany,1320
Armenia,Greece,3
Armenia,Hungary,5
Armenia,Iceland,2
Armenia,Italy,7
Armenia,Netherlands,9
Armenia,Poland,10
Armenia,Spain,11
Armenia,Sweden,91
Armenia,Switzerland,12
Azerbaijan,Austria,8
Azerbaijan,Belgium,4
Azerbaijan,Germany,747
Azerbaijan,Sweden,6
Azerbaijan,Switzerland,2
Bangladesh,Austria,25
Bangladesh,Bulgaria,1
Bangladesh,Cyprus,64
Bangladesh,Czech Republic,2
Bangladesh,France,25
Bangladesh,Frontex,0
Bangladesh,Germany,311
Bangladesh,Greece,84
Bangladesh,Iceland,1
Bangladesh,Italy,9
Bangladesh,Latvia,5
Bangladesh,Malta,4
Bangladesh,Romania,12
Bangladesh,Spain,66
Bangladesh,Sweden,2
Bangladesh,Switzerland,1
Belarus,Germany,3
Belarus,Switzerland,2
Benin,Germany,3
Benin,Switzerland,1
Bosnia and Herzegovina,Austria,10
Bosnia and Herzegovina,Belgium,6
Bosnia and Herzegovina,France,1
Bosnia and Herzegovina,Germany,1020
Bosnia and Herzegovina,Hungary,1
Bosnia and Herzegovina,Italy,1
Bosnia and Herzegovina,Luxembourg,17
Bosnia and Herzegovina,Sweden,20
Burkina Faso,Germany,3
Burundi,Netherlands,1
Burundi,Norway,4
Burundi,Sweden,16
Cameroon,Austria,2
Cameroon,Belgium,4
Cameroon,France,13
Cameroon,Germany,33
