YEAR,DEST,Germany,Italy,France,Spain,Austria,Sweden,Greece,Belgium,Poland,Hungary,Iceland,Finland,Norway,United Kingdom,Ireland,Switzerland,Netherlands,Cyprus,Luxembourg,Bulgaria,Malta,Romania,Denmark,Lithuania,Czech Republic,Portugal,Slovakia,Slovenia,Latvia,Croatia,Estonia
2006,all destinations,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,all destinations,45,93,34,130,24,0,0,3,5,0,0,0,1,17,0,44,28,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2008,all destinations,25,54,47,414,26,37,5,5,11,0,0,0,3,60,23,26,51,0,6,0,0,0,0,0,0,0,2,1,5,0,0
2009,all destinations,152,140,68,236,211,156,25,7,78,24,4,2,31,131,216,65,48,3,12,0,5,1,0,0,4,0,1,1,1,0,0
2010,all destinations,225,100,53,343,405,159,90,5,90,12,1,51,70,176,111,2,52,66,5,0,16,0,0,0,2,0,2,2,0,0,0
2011,all destinations,383,104,47,535,180,140,20,26,22,14,0,40,202,113,118,32,39,0,1,3,12,1,9,0,1,16,1,0,0,0,0
2012,all destinations,644,158,62,460,184,200,19,5,18,42,0,9,79,0,101,6,25,0,33,5,48,6,0,0,1,5,0,0,0,0,0
2013,all destinations,458,165,105,540,81,195,84,60,29,28,39,26,52,42,64,6,24,0,0,44,2,4,5,0,0,6,0,2,0,0,0
2014,all destinations,512,119,155,329,80,164,166,59,65,288,1,60,93,41,0,12,14,0,34,31,18,2,17,13,0,3,3,0,0,0,0
2015,all destinations,1318,246,202,240,338,275,43,68,16,367,46,58,74,40,12,64,35,0,25,69,9,4,6,12,1,1,1,0,0,4,2
2016,all destinations,7041,828,283,308,308,306,203,182,6,137,189,409,92,47,0,84,59,0,30,8,4,1,14,9,0,1,1,0,0,0,0
2017,all destinations,8711,1992,1017,397,536,220,196,283,10,92,306,95,36,35,0,76,29,0,81,31,1,2,27,2,3,1,7,3,0,0,0
2018,all destinations,6927,2089,1072,606,699,130,68,260,6,29,83,29,13,0,0,81,127,0,9,8,0,0,0,2,0,4,0,3,0,0,0
2019,all destinations,5654,1863,1382,669,571,302,26,205,4,15,10,31,18,0,47,33,9,0,24,25,0,2,6,0,3,1,0,3,0,0,0
2020,all destinations,3936,1491,1542,357,240,78,98,61,21,5,16,23,7,0,0,0,17,0,12,7,2,27,0,0,8,0,1,3,0,0,0
2021,all destinations,5400,2148,1322,507,284,179,162,22,17,15,6,3,11,0,0,21,0,0,23,13,0,44,0,2,10,1,1,2,0,0,0
2022,all destinations,4114,2724,1497,349,134,120,68,36,701,5,0,21,0,0,0,9,6,78,7,2,3,3,27,8,4,0,3,0,0,0,0
2023,all destinations,6030,2506,562,741,136,273,402,46,102,1,180,8,26,0,0,24,0,233,14,0,5,13,0,11,7,0,0,2,2,1,0
2024,all destinations,7223,2157,420,688,103,392,318,16,56,1,16,28,13,0,0,30,0,133,7,1,1,10,4,8,6,2,1,1,0,0,1
2016,Afghanistan,34,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2017,Afghanistan,121,0,0,0,56,42,0,1,0,20,0,51,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0
2018,Afghanistan,284,0,0,0,116,68,6,2,0,11,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2019,Afghanistan,361,0,0,0,168,246,3,0,0,7,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0
2020,Afghanistan,137,0,0,0,37,46,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2021,Afghanistan,167,0,0,0,52,29,0,2,0,5,0,2,0,0,0,0,0,0,1,7,0,36,0,0,0,0,1,0,0,0,0
2007,Albania,0,2,6,0,0,0,0,2,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Albania,1,0,10,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2010,Albania,0,0,0,0,0,0,0,0,1,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Albania,0,5,59,8,0,10,0,15,0,0,38,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Albania,45,0,104,39,2,51,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Albania,154,11,155,43,0,149,0,32,0,0,31,18,0,40,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2016,Albania,2229,0,278,30,30,150,0,73,3,10,107,22,0,47,0,0,38,0,19,1,0,0,0,0,0,0,0,0,0,0,0
2017,Albania,2541,0,1006,38,8,78,0,151,0,0,119,9,0,35,0,0,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania,1510,0,992,85,12,12,0,213,0,2,25,0,0,0,0,0,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,Albania,795,0,1227,146,7,0,0,195,0,0,0,9,0,0,19,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania,591,47,1112,44,0,7,0,49,0,0,6,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021,Albania,602,0,1240,112,4,11,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2022,Albania,362,13,1397,82,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2023,Albania,757,0,500,158,0,23,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2024,Albania,792,0,269,62,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Armenia,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Armenia,1,0,1,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Armenia,2,0,1,0,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Armenia,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Armenia,6,7,8,8,17,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,Armenia,0,0,2,0,8,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Armenia,6,0,0,1,1,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Armenia,23,0,0,2,35,25,0,17,0,0,2,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,Armenia,109,0,0,0,60,8,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Armenia,219,0,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Armenia,252,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Armenia,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Armenia,351,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,Armenia,111,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Armenia,79,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Armenia,121,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Azerbaijan,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Azerbaijan,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Azerbaijan,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Azerbaijan,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Azerbaijan,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Azerbaijan,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Azerbaijan,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Azerbaijan,114,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Bangladesh,0,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2016,Bangladesh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Bangladesh,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Bangladesh,83,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Bangladesh,115,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
