year,destination,eur_total,number_returned,avg_eur_per_person
2016,Afghanistan,513016.89,47,10915.25
2017,Afghanistan,3923118.42,280,14011.14
2018,Afghanistan,5395975.7797,489,11034.72
2019,Afghanistan,10940277.0703,802,13641.24
2020,Afghanistan,3349952.9923,227,14757.5
2021,Afghanistan,4959701.6746000005,302,16422.85
2013,Albania,1239636.8399999999,114,10874.01
2014,Albania,2447808.7199999997,159,15395.02
2015,Albania,7021407.9,501,14014.79
2016,Albania,3914316,1816,2155.46
2017,Albania,4361299.53,2053,2124.35
2018,Albania,2636250.4013,1410,1869.68
2019,Albania,2242849.2775,1452,1544.66
2020,Albania,2327395.9476,1426,1632.11
2021,Albania,2421661.2097,1276,1897.85
2022,Albania,3219724.939,1480,2175.49
2023,Albania,2152936.5577,745,2889.85
2024,Albania,952062.8948,285,3340.57
2016,Armenia,162726.99,25,6509.08
2018,Armenia,489093.1275,219,2233.3
2019,Armenia,457134.7163,187,2444.57
2020,Armenia,101635.2698,31,3278.56
2021,Armenia,1199310.6125,353,3397.48
2022,Armenia,646206.2315,114,5668.48
2023,Armenia,484433.6629,94,5153.55
2024,Armenia,211917.2203,64,3311.21
2019,Azerbaijan,276869.2901,112,2472.05
2020,Azerbaijan,266447.1203,50,5328.94
2021,Azerbaijan,1037043.8408,218,4757.08
2022,Azerbaijan,1105546.0303000002,175,6317.41
2023,Azerbaijan,462633.01489999995,39,11862.38
2024,Azerbaijan,188817.5608,83,2274.91
2017,Bangladesh,316051.76,36,8779.22
2018,Bangladesh,1065328.1636,94,11333.28
2019,Bangladesh,1487291.4277,120,12394.1
2020,Bangladesh,378028.0318,18,21001.56
2021,Bangladesh,675425.1174000001,59,11447.88
2022,Bangladesh,1171631.965,72,16272.67
2023,Bangladesh,695574.3994,63,11040.86
2024,Bangladesh,654275.0132,51,12828.92
2016,Bosnia and Herzegovina,57008.99,23,2478.65
2020,Bosnia and Herzegovina,62303.8498,24,2595.99
2010,Burundi,1639236.1800000002,21,78058.87
2013,Congo DR,1972142.34,57,34598.99
2014,Congo DR,213338.4,43,4961.36
2015,Congo DR,1335526.56,36,37097.96
2022,Congo DR,1018456.5293,63,16165.98
2023,Congo DR,654479.1448,33,19832.7
2024,Congo DR,462518.67209999997,27,17130.32
2024,Côte D'ivoire,237563.33,16,14847.71
2017,Egypt,467459.9,182,2568.46
2018,Egypt,342721.8658,62,5527.77
2019,Egypt,682531.5784,204,3345.74
2020,Egypt,117149.9,49,2390.81
2021,Egypt,1091967.8933,291,3752.47
2022,Egypt,1280346.7,316,4051.73
2023,Egypt,936474.33,245,3822.34
2024,Egypt,634438.47,144,4405.82
2019,Ethiopia,546348.0567000001,33,16556
2020,Ethiopia,428306.66,10,42830.67
2021,Ethiopia,453729.24879999994,19,23880.49
2018,Gambia,773580.6140000001,55,14065.1
2019,Gambia,470485.169,35,13442.43
2020,Gambia,166435.3447,20,8321.77
2021,Gambia,208047.25379999998,24,8668.64
2022,Gambia,1266574.5319,91,13918.4
2023,Gambia,5095753.3774,382,13339.67
2024,Gambia,756758.7609999999,85,8903.04
2009,Georgia,1640809.2,51,32172.73
2010,Georgia,4064957.2199999997,157,25891.45
2011,Georgia,1098402.54,31,35432.34
2012,Georgia,1433919.54,41,34973.65
2013,Georgia,589852.14,65,9074.65
2014,Georgia,2777132.52,60,46285.54
2015,Georgia,2472883.74,94,26307.27
2016,Georgia,603717.4,179,3372.72
2017,Georgia,779431.54,315,2474.39
2018,Georgia,2481032.5429000002,901,2753.64
2019,Georgia,2122807.2212,829,2560.68
2020,Georgia,3410284.6579,1318,2587.47
2021,Georgia,2912152.2101,1000,2912.15
2022,Georgia,3494620.3048,1000,3494.62
2023,Georgia,5047207.0725,1383,3649.46
2024,Georgia,2038471.6907,1253,1626.87
2018,Ghana,916722.3994,71,12911.58
2019,Ghana,1343383.4361,96,13993.58
2020,Ghana,640243.4238,51,12553.79
2021,Ghana,1646597.9904,163,10101.83
2022,Ghana,1249827.6732,94,13296.04
2023,Ghana,1232371.2051,76,16215.41
2017,Guinea,151064.55,15,10070.97
2020,Guinea,301013.7643,29,10379.78
2021,Guinea,691547.8988999999,81,8537.63
2023,Guinea,11214.8986,13,862.68
2024,Guinea,138497.26,13,10653.64
2022,India,319422.07,19,16811.69
2023,India,619180.99,35,17690.89
2024,India,262165.6293,19,13798.19
2010,Iraq,5423098.2,154,35214.92
2011,Iraq,3070079.04,107,28692.33
2016,Iraq,1645996.22,342,4812.85
2020,Iraq,336636.8683,72,4675.51
2021,Iraq,173357.4403,12,14446.45
2023,Iraq,1766969.0228,155,11399.8
2024,Iraq,2705852.2346,268,10096.46
2022,Kenya,438773.5829,13,33751.81
2010,Kosovo,3818435.2199999997,339,11263.82
2011,Kosovo,3745709.22,278,13473.77
2012,Kosovo,3636219.78,320,11363.19
2013,Kosovo,1611303.6,148,10887.19
2014,Kosovo,5100812.4,504,10120.66
2015,Kosovo,11060497.32,1441,7675.57
2016,Kosovo,3655529.06,1640,2228.98
2017,Kosovo,1063663.52,562,1892.64
2018,Kosovo,39647.146,13,3049.78
2020,Kosovo,84285.4393,35,2408.16
2021,Kosovo,51843.3,12,4320.28
2016,Lebanon,142555.53,53,2689.73
2017,Lebanon,110137.26,11,10012.48
2019,Mauritania,376713.436,146,2580.23
2020,Mauritania,480358.626,184,2610.64
2021,Mauritania,59229.7633,13,4556.14
2016,Moldova,241557.68,14,17254.12
2020,Moldova,342141.2572,234,1462.14
2021,Moldova,70397.51509999999,38,1852.57
2022,Moldova,509291.7526,277,1838.6
2023,Moldova,748907.8044,247,3032.02
2024,Moldova,468849.6773,231,2029.65
2008,Mongolia,426902.30999999994,44,9702.33
2009,Mongolia,2229445.98,124,17979.4
2021,Mongolia,113280.6109,99,1144.25
2024,Mongolia,366884.52,31,11834.98
2018,Montenegro,64209.964900000006,65,987.85
2019,Montenegro,38686.8814,34,1137.85
2020,Montenegro,39542.7756,44,898.7
2021,Montenegro,88109.4003,42,2097.84
2022,Montenegro,78436.5091,50,1568.73
2023,Montenegro,90344.82320000001,20,4517.24
2008,Nigeria,850215,34,25006.32
2009,Nigeria,11923264.86,346,34460.3
2010,Nigeria,18061643.22,617,29273.33
2011,Nigeria,21939382.62,647,33909.4
2012,Nigeria,14941196.52,411,36353.28
2013,Nigeria,20857717.08,508,41058.5
2014,Nigeria,16319045.7,406,40194.69
2015,Nigeria,22323616.164,462,48319.52
2016,Nigeria,2014927.02,255,7901.67
2017,Nigeria,3781476.13,489,7733.08
2018,Nigeria,2882104.4995,252,11436.92
2019,Nigeria,8045934.8445,776,10368.47
2020,Nigeria,1754586.7763,179,9802.16
2021,Nigeria,3788425.0691,356,10641.64
2022,Nigeria,6811652.3107,500,13623.3
2023,Nigeria,6086273.2409,525,11592.9
2024,Nigeria,3071493.4207,295,10411.84
2014,North Macedonia,387774.72,80,4847.18
2016,North Macedonia,791370.92,382,2071.65
2017,North Macedonia,807359.16,321,2515.14
2019,North Macedonia,180472.2439,88,2050.82
2020,North Macedonia,61392.4864,53,1158.35
