ROID,MSISO,MSNAME,N_ESC,N_ESC_LEAD,N_ESC_POOL,N_OBS,UNIQUE_ID,N_MONITORS,N_MONITORS_POOL
RO-00853,AUT,Austria,43,1,0,0,RO-00853AUT,1,NA
RO-00853,BGR,Bulgaria,0,0,7,0,RO-00853BGR,0,NA
RO-00853,CZE,Czech Republic,0,0,3,0,RO-00853CZE,0,NA
RO-00853,GRC,Greece,9,1,0,0,RO-00853GRC,0,NA
RO-00853,HUN,Hungary,4,1,5,0,RO-00853HUN,0,NA
RO-00853,SVN,Slovenia,0,0,3,0,RO-00853SVN,0,NA
RO-00853,SWE,Sweden,46,2,0,1,RO-00853SWE,1,NA
RO-00855,AUT,Austria,39,1,0,0,RO-00855AUT,1,NA
RO-00855,SWE,Sweden,63,2,0,1,RO-00855SWE,1,NA
RO-00857,AUT,Austria,51,1,0,0,RO-00857AUT,1,NA
RO-00857,CHE,Switzerland,6,1,0,0,RO-00857CHE,0,NA
RO-00857,DEU,Germany,38,1,0,0,RO-00857DEU,0,NA
RO-00857,ITA,Italy,16,1,0,0,RO-00857ITA,1,NA
RO-00857,NOR,Norway,3,1,0,0,RO-00857NOR,0,NA
RO-00857,SWE,Sweden,14,1,0,0,RO-00857SWE,1,NA
RO-00858,AUT,Austria,63,1,0,0,RO-00858AUT,1,NA
RO-00858,CHE,Switzerland,8,0,0,0,RO-00858CHE,0,NA
RO-00858,DEU,Germany,58,1,0,0,RO-00858DEU,0,NA
RO-00858,FRA,France,6,1,0,0,RO-00858FRA,0,NA
RO-00858,SWE,Sweden,5,1,0,0,RO-00858SWE,1,NA
RO-00859,AUT,Austria,43,1,0,1,RO-00859AUT,1,NA
RO-00859,DEU,Germany,35,1,0,0,RO-00859DEU,0,NA
RO-00859,FRA,France,7,1,0,0,RO-00859FRA,0,NA
RO-00859,HUN,Hungary,2,1,0,0,RO-00859HUN,0,NA
RO-00859,SWE,Sweden,7,1,0,0,RO-00859SWE,1,NA
RO-00860,AUT,Austria,45,1,0,0,RO-00860AUT,1,NA
RO-00860,DEU,Germany,14,1,0,0,RO-00860DEU,0,NA
RO-00868,DEU,Germany,110,1,0,0,RO-00868DEU,0,NA
RO-00869,DEU,Germany,93,1,0,0,RO-00869DEU,0,NA
RO-00870,DEU,Germany,75,1,0,0,RO-00870DEU,0,NA
RO-00871,AUT,Austria,36,1,0,0,RO-00871AUT,1,NA
RO-00874,AUT,Austria,32,1,0,0,RO-00874AUT,1,NA
RO-00874,IRL,Ireland,24,1,0,0,RO-00874IRL,1,NA
