ROID,MSISO,FX_CONTRIB,MSNAME
RO-00853,SWE,501562.19,Sweden
RO-00853,AUT,2822.95,Austria
RO-00853,HUN,6810.21,Hungary
RO-00853,GRC,0,Greece
RO-00853,CZE,4369.26,Czech Republic
RO-00853,SVN,3660.24,Slovenia
RO-00853,BGR,10194.94,Bulgaria
RO-00853,DNK,1826.08,Denmark
RO-00855,SWE,541261.13,Sweden
RO-00855,AUT,3222.91,Austria
RO-00857,AUT,380560.69,Austria
RO-00857,CHE,54161.84,Switzerland
RO-00857,DEU,12404.33,Germany
RO-00857,NOR,50483.84,Norway
RO-00857,SWE,22236.7,Sweden
RO-00857,ITA,81385.36,Italy
RO-00858,AUT,369525.02,Austria
RO-00858,FRA,11521.64,France
RO-00858,DEU,67099.27,Germany
RO-00858,SWE,25803.56,Sweden
RO-00858,CHE,33980.81,Switzerland
RO-00859,AUT,325374.67,Austria
RO-00859,FRA,13815.12,France
RO-00859,DEU,14480.64,Germany
RO-00859,HUN,855.79,Hungary
RO-00859,SWE,38237.14,Sweden
RO-00860,AUT,80340.65,Austria
RO-00860,DEU,42142.05,Germany
RO-00868,DEU,473072.07,Germany
RO-00869,DEU,447029.74,Germany
RO-00870,DEU,442426.1,Germany
RO-00871,AUT,58797.1,Austria
RO-00874,AUT,176343.82,Austria
RO-00874,IRL,0,Ireland
RO-00875,AUT,58278.01,Austria
RO-00875,DEU,41578.71,Germany
RO-00879,DEU,275038.15,Germany
RO-00882,DEU,105258.11,Germany
RO-00882,FRA,4886.49,France
RO-00882,SWE,14569.6,Sweden
RO-00882,GEO,2541.25,Georgia
RO-00883,DEU,103975.33,Germany
RO-00883,FRA,5393.37,France
RO-00883,LUX,1286.41,Luxembourg
RO-00883,GEO,2439.6,Georgia
RO-00884,DEU,104180.52,Germany
RO-00884,FRA,4931.48,France
RO-00884,GEO,2439.6,Georgia
RO-00885,DEU,35990.48,Germany
RO-00885,MNE,2696.4,Montenegro
RO-00886,DEU,91894.27,Germany
RO-00887,DEU,107174.71,Germany
RO-00887,GEO,2541.25,Georgia
RO-00887,CHE,28711.88,Switzerland
RO-00888,DEU,82944.6,Germany
RO-00889,DEU,167861.5,Germany
RO-00891,DEU,89576.4,Germany
RO-00892,DEU,73790.38,Germany
RO-00894,AUT,152550.1,Austria
RO-00894,DEU,21999.03,Germany
RO-00896,DEU,179306.11,Germany
RO-00898,NLD,1361.27,Netherlands
RO-00898,ESP,0,Spain
RO-00898,FX,375100,Frontex
RO-00901,DEU,268825.18,Germany
RO-00902,FRA,43317.92,France
RO-00902,BEL,88.31,Belgium
RO-00902,ALB,1626.4,Albania
RO-00904,FRA,41541.22,France
RO-00904,BEL,88.31,Belgium
RO-00904,ALB,1626.4,Albania
RO-00905,FRA,43533.66,France
RO-00905,BEL,170.85,Belgium
RO-00905,ALB,1626.4,Albania
RO-00907,DEU,275361.83,Germany
RO-00910,DEU,76957.02,Germany
RO-00914,CHE,275086.34,Switzerland
RO-00914,DEU,27257.09,Germany
RO-00915,GRC,0,Greece
RO-00915,SWE,38350.29,Sweden
RO-00915,FX,219800,Frontex
RO-00916,GRC,0,Greece
RO-00916,SWE,48167.39,Sweden
RO-00916,FX,359000,Frontex
RO-00918,DEU,95161.14,Germany
RO-00920,DEU,88528.2,Germany
RO-00923,ITA,60600,Italy
RO-00925,ITA,43430,Italy
RO-00926,DEU,195123.33,Germany
RO-00927,DEU,195123.33,Germany
RO-00928,FRA,43541.64,France
RO-00928,BEL,170.85,Belgium
RO-00928,ALB,1776.2,Albania
RO-00929,FRA,42154.86,France
RO-00929,BEL,170.85,Belgium
RO-00929,ALB,1776.2,Albania
RO-00930,FRA,42233.25,France
RO-00930,BEL,170.85,Belgium
RO-00930,ALB,1776.2,Albania
RO-00931,ESP,199379.39,Spain
RO-00932,FRA,44004.95,France
RO-00932,BEL,170.85,Belgium
RO-00932,ALB,1776.2,Albania
RO-00933,ESP,363121.88,Spain
RO-00933,FIN,70067.69,Finland
RO-00934,ITA,39895,Italy
RO-00935,DEU,100980.56,Germany
RO-00936,DEU,83487.54,Germany
RO-00937,ITA,125822.21,Italy
RO-00939,DEU,277071.17,Germany
RO-00941,ITA,53530,Italy
RO-00942,DEU,52064.03,Germany
RO-00943,FIN,80844.95,Finland
RO-00944,ITA,39379.9,Italy
RO-00945,DEU,70687.21,Germany
RO-00946,DEU,100825.91,Germany
RO-00947,DEU,40282.1,Germany
RO-00949,DEU,39115,Germany
RO-00950,DEU,40422.31,Germany
RO-00951,ITA,37269,Italy
RO-00952,DEU,102025.6,Germany
RO-00953,DEU,171205.28,Germany
RO-00954,FRA,44144.2,France
RO-00954,BEL,170.85,Belgium
RO-00954,ALB,1701.3,Albania
RO-00955,FRA,43735.91,France
RO-00955,BEL,170.85,Belgium
RO-00955,ALB,1701.3,Albania
RO-00956,FRA,40979.9,France
RO-00956,BEL,170.85,Belgium
RO-00956,ALB,1701.3,Albania
RO-00957,DEU,191297.61,Germany
RO-00958,FRA,42660.85,France
RO-00958,BEL,170.85,Belgium
RO-00958,ALB,1701.3,Albania
RO-00959,DEU,70146.81,Germany
RO-00960,DEU,50419.79,Germany
RO-00961,DEU,98101.69,Germany
RO-00962,ITA,39390,Italy
RO-00963,DEU,58716.75,Germany
RO-00964,DEU,45674.77,Germany
RO-00965,DEU,375950.6,Germany
RO-00965,NLD,0,Netherlands
RO-00965,DNK,22001.02,Denmark
RO-00966,DEU,106453.51,Germany
RO-00966,ISL,97091.3,Iceland
RO-00966,SWE,12888.05,Sweden
RO-00966,GEO,2439.6,Georgia
RO-00967,DEU,317667.5,Germany
RO-00970,AUT,394966.18,Austria
RO-00970,CHE,46141.86,Switzerland
RO-00970,DEU,28869.01,Germany
RO-00970,BGR,5423.7,Bulgaria
RO-00970,HUN,914.94,Hungary
RO-00971,AUT,373713.32,Austria
RO-00971,DEU,35451.59,Germany
RO-00971,NLD,0,Netherlands
RO-00971,CHE,38899.7,Switzerland
RO-00971,HUN,757.66,Hungary
RO-00973,AUT,370970.33,Austria
RO-00973,SWE,18097.47,Sweden
RO-00973,DEU,29938,Germany
RO-00974,AUT,318418.72,Austria
RO-00974,DEU,38502.3,Germany
RO-00974,ROU,6266.04,Romania
RO-00974,FIN,38371.92,Finland
RO-00974,BGR,7108.38,Bulgaria
RO-00974,CZE,2353.3,Czech Republic
RO-00974,LUX,5692.7,Luxembourg
RO-00974,BEL,4254.36,Belgium
RO-00975,FRA,43691.47,France
RO-00975,BEL,170.85,Belgium
RO-00975,ALB,1848.96,Albania
RO-00976,FRA,43253.89,France
RO-00976,BEL,170.85,Belgium
RO-00976,ALB,1848.96,Albania
RO-00977,FRA,43062.72,France
RO-00977,FIN,35330.81,Finland
RO-00977,BEL,170.85,Belgium
RO-00977,ALB,1848.96,Albania
RO-00978,FRA,41367.26,France
RO-00978,NLD,4072.8,Netherlands
RO-00978,BEL,170.85,Belgium
RO-00978,ALB,1848.96,Albania
RO-00980,DEU,137139.2,Germany
RO-00982,AUT,305103.83,Austria
RO-00982,SWE,20219.8,Sweden
RO-00982,POL,3951.12,Poland
RO-00982,SVN,951.58,Slovenia
RO-00982,HUN,1242.62,Hungary
RO-00982,DEU,76302.45,Germany
RO-00983,AUT,59160.14,Austria
RO-00983,SVN,260.74,Slovenia
RO-00984,ITA,36358.99,Italy
RO-00985,ITA,131939.33,Italy
RO-00986,AUT,58994.1,Austria
RO-00987,DEU,98327.49,Germany
RO-00988,BEL,240169.43,Belgium
RO-00988,AUT,7265.94,Austria
RO-00988,NLD,5511.6,Netherlands
RO-00988,HUN,4179.69,Hungary
RO-00988,CHE,44655.32,Switzerland
RO-00988,DEU,25161.05,Germany
RO-00988,PRT,0,Portugal
RO-00988,BGR,8150.7,Bulgaria
RO-00989,DEU,102682.24,Germany
RO-00989,FRA,3985.07,France
RO-00990,DEU,154061.15,Germany
RO-00991,ITA,38380,Italy
RO-00993,ITA,32545.22,Italy
RO-00993,BEL,310858.51,Belgium
RO-00994,ESP,385976.91,Spain
RO-00996,ESP,192969.25,Spain
RO-00997,ITA,34843.99,Italy
RO-00998,ITA,43428.99,Italy
RO-00999,DEU,171078.67,Germany
RO-01000,DEU,94303.3,Germany
RO-01001,DEU,424935.72,Germany
RO-01001,AUT,66700.4,Austria
RO-01002,DEU,282251.92,Germany
RO-01002,FRA,4152.69,France
RO-01002,CHE,41158.69,Switzerland
RO-01002,ITA,79259.75,Italy
RO-01003,DEU,85569.42,Germany
RO-01004,DEU,100767.59,Germany
RO-01005,DEU,100231.97,Germany
RO-01006,CHE,449991.26,Switzerland
RO-01006,AUT,7459.86,Austria
RO-01007,FRA,37307.38,France
RO-01008,FRA,124346.53,France
RO-01009,DEU,94223.33,Germany
RO-01009,FRA,5793.09,France
RO-01009,GEO,2439.6,Georgia
