DEST,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,FX_CONTRIB,FX_CONTRIB_PP,iso
Somalia,12,2,30,25,4,1,0,3,526979.94,43914.994999999995,SO
Ethiopia,115,5,493,470,18,0,2,7,3449705.34,29997.437739130433,ET
Sri Lanka,153,2,511,440,11,3,1,3,3761814.58,24587.02339869281,LK
Afghanistan,2949,52,7905,7049,203,35,21,82,51364541.97,17417.613418107834,AF
The Gambia,48,0,219,212,6,0,1,2,832189,17337.270833333332,NA
Vietnam,319,5,576,487,29,0,4,2,4288986.35,13445.098275862068,VN
Guinea,328,5,1241,1197,35,2,5,15,3986358.71,12153.532652439024,GN
Gambia,116,3,425,382,11,14,2,8,1282174.89,11053.231810344827,GM
Ghana,663,14,2296,2245,42,5,5,22,7235273.38,10912.931191553544,GH
Pakistan,4166,67,11692,7998,191,37,21,115,44795830.72,10752.719807969275,PK
Turkey,81,3,264,246,15,1,0,2,834341.54,10300.512839506173,TR
Congo DR,170,5,521,44,4,0,2,17,1610855.66,9475.621529411765,CD
Iraq,437,6,1313,576,19,1,2,8,3506850.07,8024.828535469107,IQ
Nigeria,7472,121,20382,7649,225,25,21,168,59568223.594,7972.1926651498925,NG
Bangladesh,494,4,995,958,30,6,6,8,3849009.65,7791.517510121457,BD
Senegal,250,5,658,645,12,14,0,13,1563943.58,6255.77432,SN
Azerbaijan,719,10,1398,1364,22,3,2,18,3436862.94,4780.0597218358835,AZ
Cameroon,30,0,6,5,1,0,0,0,141099.6,4703.320000000001,CM
Lebanon,75,3,90,46,2,2,0,3,340085.8,4534.477333333333,LB
average across all destinations,73417,680,132563,98732,2925,541,673,1284,324549193.6948,4420.627289249084,
Kosovo*,24,0,52,50,2,0,0,0,103686.6,4320.2750000000005,NA
Georgia,7719,61,7593,6242,272,20,82,151,28037865.0608,3632.3183133566527,GE
Egypt,1216,4,3312,3212,83,11,3,15,4308393.48,3543.086743421053,EG
Sudan,40,0,0,0,0,0,0,0,138947,3473.675,SD
Armenia,1280,3,2519,2335,44,10,9,33,4325256.77,3379.1068515624997,AM
Russia,1529,11,2758,2359,63,26,7,32,5038206.54,3295.099110529758,RU
