ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,N_MONITORS_POOL,FX_CONTRIB,n
RO-01178,NRO,62,NA,225,222,2,0,1,2,0,389219.07,2
RO-01179,JRO,98,1,204,200,4,0,0,2,0,735288.26,2
RO-01180,JRO,90,1,247,240,6,0,0,3,1,1368095.5499999998,2
RO-01186,JRO,58,NA,184,180,4,0,0,1,0,661423.74,2
RO-01187,NRO,74,1,210,208,2,0,0,2,0,398980.41,2
RO-01188,NRO,62,1,178,176,2,0,0,1,0,399527.11,2
RO-01193,CRO,72,1,80,76,2,0,2,2,0,414960.48,2
RO-01194,CRO,168,NA,78,76,2,0,0,2,0,282588.92,2
RO-01195,CRO,104,1,80,76,2,0,2,1,0,420177.89999999997,2
RO-01204,JRO,70,1,197,188,8,0,0,1,1,1454138.44,2
RO-01205,JRO,57.5,1,178,166,10,0,0,2,2,2232952.5,2
RO-01210,NRO,6,NA,35,30,2,0,2,1,1,91008.64,2
RO-01211,NRO,14,NA,52,48,2,0,1,1,1,65071.27,2
RO-01212,NRO,10,NA,40,36,2,0,1,1,1,78868.88,2
RO-01219,JRO,92,1,241,228,10,0,0,3,3,2369550.92,2
RO-01220,JRO,46,1,130,120,6,0,3,1,1,1034022.32,2
RO-01231,JRO,22,1,104,100,4,0,0,2,0,384183.48,2
RO-01233,JRO,56,NA,216,212,4,0,0,2,0,418466.32,2
RO-01237,NRO,42,1,144,142,2,0,0,2,0,190695.97,2
RO-01263,JRO,114,1,103,98,4,0,0,2,1,239913.04,2
RO-01264,NRO,117,2,89,86,2,0,0,1,1,84420.63,2
RO-01281,CRO,88,1,70,60,6,0,1,4,3,39542.78,2
RO-01283,JRO,66,NA,287,280,6,0,0,1,1,1331469.3900000001,2
RO-01284,NRO,68,NA,192,190,2,0,0,1,0,375973.16,2
RO-01285,JRO,74,NA,220,216,4,0,0,1,0,854641.48,2
RO-01289,JRO,20,1,74,66,5,0,1,2,1,1198499.1300000001,2
RO-01291,NRO,36,1,139,136,2,0,0,1,1,90038.7,2
RO-01292,NRO,38,NA,142,140,2,0,0,1,0,87159.9,2
RO-01294,NRO,42,1,96,94,2,0,0,2,0,140427.34,2
RO-01295,NRO,82,NA,132,130,2,0,0,1,0,102488.7,2
RO-01298,NRO,58,1,132,130,2,0,0,1,0,126019.78,2
RO-01299,JRO,32,1,131,120,6,0,2,4,3,322365.26,2
RO-01304,NRO,114,2,86,84,2,0,0,1,0,95566.89,2
RO-01305,NRO,85.5,NA,64,62,2,0,0,1,0,85106.48,2
RO-01306,NRO,94,NA,84,82,2,0,0,1,0,81231,2
RO-01307,NRO,92,NA,140,136,2,0,0,2,2,92769.61,2
RO-01311,CRO,94,NA,91,86,2,0,3,1,0,94252.54,2
RO-01312,CRO,58,1,91,86,2,0,3,1,0,88338.36,2
RO-01313,CRO,80,NA,97,92,2,0,3,1,0,88943.84,2
RO-01314,JRO,112.5,NA,105,100,4,0,0,1,1,289823.2,2
RO-01315,NRO,62,NA,40,38,2,0,0,0,0,81101.45,2
RO-01317,CRO,62,1,89,86,2,0,1,1,0,61916.28,2
RO-01321,NRO,54,NA,108,104,2,0,0,2,2,333300,2
RO-01322,NRO,127.5,NA,116,114,2,0,0,2,0,98211.99,2
