YEAR,MSNAME,Germany,Austria,Italy,Spain,Sweden,France,Greece,Norway,Switzerland,Netherlands,Belgium,Finland,Frontex,Iceland,Bulgaria,United Kingdom,Hungary,Ireland,Poland,Denmark,Romania,Luxembourg,Czech Republic,Malta,Slovakia,Slovenia,Portugal,Monitor(s),Lithuania,Albania,Georgia,Cyprus,Ukraine,Montenegro,Latvia,Estonia,Croatia
2009,all EU member states,569108.4,1217784.89,473939.36,200405.88,469525.22,492644.86,4528.9,93002.13,0,308280.06,12799.14,6602.98,21938.76,8283.16,0,0,3231.42,367300.2,38422.8,0,3935.06,42825.34,4592.54,6667.05,4740.27,1683.52,0,0,0,0,0,7433.139999999999,0,0,1479.85,0,0
2010,all EU member states,770604.09,1634412.69,358901.85,1645537.6300000001,1192601.32,574618.44,39068.84,309613.06,0,439967.67,1439.52,166830.40999999997,101940.89,3533.55,1209.24,1011748.5,10255.39,55654.31,50538.869999999995,0,0,0,2222.47,51904.1,75.34,0,0,0,0,0,0,5047.94,0,0,0,0,0
2011,all EU member states,809804.87,1425995.67,382364.57999999996,1565609.1199999999,846102.11,505140.12,4759.8,549855.27,99668.93,735572.72,8885.94,457087.46,47336.72,0,3389.06,433648.99,6760.49,538568.05,16457.96,11462.17,0,19180.98,2367.35,9499.470000000001,54.79,0,33574.87,0,0,0,0,0,0,0,612.82,0,0
2012,all EU member states,991195.61,1650541.42,806017.45,1490252.1400000001,813169.66,207918.43,12636.67,646892.24,31809.440000000002,312044.85,1502.01,155876.69,44545.65,0,4800.46,18478.52,3118.91,178959.91,15007.9,645.4,6042.72,5120.9,204.81,5864.139999999999,0,0,5565.46,0,0,0,0,0,0,0,536.76,0,0
2013,all EU member states,854585.03,1184148.79,638094.05,2365761.52,571308.29,195695.64,0,425788.35,33783.96,313739.69,0,168602,34380.090000000004,114417.26,45803.49,0,10297.71,222490.21,11983.95,40931,5331.58,0,0,2838.3,0,0,5372.43,0,0,0,0,0,0,0,0,842.24,972.25
2014,all EU member states,782151.57,583656.05,665308.96,1994099.66,789055.42,333673.58,0,634529.6900000001,140259.32,479944.12,0,314906.63,69790.45,7074.26,19697.57,229278.8,129543.32,0,14408.84,12276.36,3737.34,12093.42,0,53559.64,41.28,0,4661.04,0,0,1210,0,0,0,0,0,0,0
2015,all EU member states,2091722.91,1614831.52,1450169.47,1536332.47,997257.8,389051.78,328,784042.42,295588.494,529663.25,143742.35,316666.57,9,129122.04000000001,104576.48999999999,180030,103736.65000000001,127091.58,7641.79,398589.48,3846.76,41378.409999999996,108,13882.85,196.86,0,1558.85,0,2441.7,0,0,0,0,0,0,1093.22,166.78
2016,all EU member states,9919084.942,2747033.84,2136220.32,3144259.37,1223455.69,971379.22,1592083.44,644616.5399999999,664921.262,385817.01999999996,356258.1528,172068.36,7349.9,496009.68,2347.7000000000003,0,34380.124,0,0,624368.45,0,33672.9,0,1631.92,0,0,1980.7,0,3752.8199999999997,0,0,0,0,0,0,0,0
2017,all EU member states,11641266.41,6688517.89,6013431.7299999995,2399115.37,2610779.35,3579183.7,2950162.55,393682.60000000003,653848.69,734405.84,1546131.49,1122862.52,0,1087127.77,46985.88,0,6575.52,0,0,152172.32,0,71250.63,0,0,0,0,0,128980.1,0,0,0,0,0,0,0,0,0
2018,all EU member states,12410038.27,5820822.86,5443518.29,2682355.9,1320059.67,2759314.62,0,196648.29,1295868.51,122875.28,621935.35,534021.51,901316.74,653580.92,18416.55,0,217267.66999999998,0,14059.2,0,0,11060.11,7075.84,0,0,0,7064.07,0,6156.96,0,0,0,0,0,0,0,0
2019,all EU member states,26029143.53,6640403.4399999995,4176211.2399999998,3346856.32,5053962.04,2602206.05,0,383785.77999999997,1065511.22,10945.67,569224.94,407254.68,2602206,158672.01,99223.41,0,55660.77,0,21100.42,90860.88,6266.04,67101.98,6722.56,0,0,6016.97,681.75,0,0,81216.05,32003.27,0,4878.13,2696.4,0,0,0
2020,all EU member states,11877014.241666667,1652064.61,2866233.589166667,1236873.755,1179142.8766666667,2024427.865,911027.9,274798.16,0,484686.39749999996,538442.1241666666,368889.2,0,360301.25666666665,779940.4025,0,325568.75833333336,0,888818.2616666667,0,489992.7466666667,91413.26833333334,135704.49333333332,126009.34333333334,103073.71,5959,0,0,0,0,0,0,0,0,0,0,0
2021,all EU member states,19531081.421666667,2529400.542047619,6773490.128333333,1483909.2533333334,1530937.9027142858,2827343.8383333334,1178581.5831666666,78056.655,898851.1875,57469.52,675657.459047619,201076.06133333332,0,79473.42,1008940.0622142857,0,823877.1333809524,0,400352.37166666664,0,571945.7965,387633.96904761903,251213.21233333333,0,85825.91571428571,177735.84,128770.035,0,108005.90166666667,0,0,0,0,0,0,0,0
2009,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Austria,0,1217784.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Belgium,0,0,0,0,0,0,0,0,0,0,12799.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7433.139999999999,0,0,0,0,0
2009,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4592.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
