DEST,MSNAME,N_RETURNEES
Afghanistan,Austria,377
Afghanistan,Belgium,3
Afghanistan,Bulgaria,23
Afghanistan,Denmark,19
Afghanistan,Finland,65
Afghanistan,France,1
Afghanistan,Germany,937
Afghanistan,Greece,11
Afghanistan,Hungary,38
Afghanistan,Slovenia,2
Afghanistan,Sweden,415
Albania,Austria,192.5
Albania,Belgium,743
Albania,Bulgaria,1.5
Albania,Denmark,1
Albania,Estonia,0.5
Albania,Finland,86
Albania,France,4742.5
Albania,Germany,8533.5
Albania,Greece,9
Albania,Hungary,23
Albania,Iceland,323.5
Albania,Ireland,34
Albania,Italy,63
Albania,Lithuania,3
Albania,Luxembourg,53.5
Albania,Netherlands,199.5
Albania,Norway,2.5
Albania,Poland,4.5
Albania,Portugal,1
Albania,Slovakia,1
Albania,Spain,447
Albania,Sweden,442.5
Albania,United Kingdom,147
Angola,Switzerland,2
Armenia,Austria,199.5
Armenia,Belgium,21.5
Armenia,Bulgaria,1.5
Armenia,Finland,4
Armenia,France,24.5
Armenia,Germany,625.5
Armenia,Greece,17
Armenia,Hungary,9
Armenia,Iceland,1.5
Armenia,Ireland,3.5
Armenia,Italy,5
Armenia,Lithuania,4
Armenia,Netherlands,7
Armenia,Poland,18.5
Armenia,Romania,0.5
Armenia,Spain,46.5
Armenia,Sweden,67
Armenia,Switzerland,12.5
Azerbaijan,Austria,8
Azerbaijan,Belgium,4
Azerbaijan,Germany,171
Azerbaijan,Switzerland,1
Bangladesh,Austria,15
Bangladesh,France,1
Bangladesh,Germany,252
Bangladesh,Iceland,1
Bangladesh,Italy,1
Bangladesh,Latvia,5
Bangladesh,Malta,2
Bangladesh,Spain,62
Bangladesh,Switzerland,1
Belarus,Germany,3
Benin,Germany,7
Benin,Switzerland,1.5
Bosnia and Herzegovina,Belgium,6
Bosnia and Herzegovina,Finland,2
Bosnia and Herzegovina,France,5
Bosnia and Herzegovina,Germany,559.5
Bosnia and Herzegovina,Hungary,0.5
Bosnia and Herzegovina,Luxembourg,25
Bosnia and Herzegovina,Spain,2
Bosnia and Herzegovina,Sweden,24
Burkina Faso,Germany,3
Cameroon,Austria,3.5
Cameroon,Belgium,5
Cameroon,France,12.5
Cameroon,Germany,24
Cameroon,Italy,1
Cameroon,Luxembourg,1
Cameroon,Netherlands,35.5
Cameroon,Norway,1.5
Cameroon,Poland,2
Cameroon,Romania,1
Cameroon,Spain,16
Cameroon,Sweden,3.5
Cameroon,Switzerland,23.5
Cameroon,United Kingdom,9.5
Colombia,Bulgaria,2
Colombia,Finland,5
Colombia,France,14.5
Colombia,Germany,1.5
