DEST,MSNAME,N_RETURNEES
Albania,Germany,8533.5
Kosovo,Germany,5873
Tunisia,Germany,847
Nigeria,Germany,897.5
Serbia,Germany,6399
Georgia,Germany,2942.5
Macedonia,Germany,2367.5
Pakistan,Germany,982
Afghanistan,Germany,937
Colombia,Germany,1.5
Moldova,Germany,1676
Armenia,Germany,625.5
Ecuador,Germany,0.5
Russia,Germany,609
Bosnia and Herzegovina,Germany,559.5
Albania,Italy,63
Kosovo,Italy,1
Tunisia,Italy,6651
Nigeria,Italy,1926.5
Serbia,Italy,3
Georgia,Italy,71
Pakistan,Italy,25
Colombia,Italy,15.5
Armenia,Italy,5
Ecuador,Italy,17.5
Albania,Spain,447
Nigeria,Spain,517
Serbia,Spain,14.5
Georgia,Spain,570.5
Macedonia,Spain,3
Pakistan,Spain,191
Colombia,Spain,1724.5
Armenia,Spain,46.5
Ecuador,Spain,832.5
Bosnia and Herzegovina,Spain,2
Albania,France,4742.5
Kosovo,France,138.5
Nigeria,France,115
Serbia,France,20.5
Georgia,France,344.5
Macedonia,France,2.5
Pakistan,France,51
Afghanistan,France,1
Colombia,France,14.5
Armenia,France,24.5
Ecuador,France,12.5
Bosnia and Herzegovina,France,5
Albania,Austria,192.5
Kosovo,Austria,1066.5
Nigeria,Austria,927
Serbia,Austria,63
Georgia,Austria,486
Macedonia,Austria,38
Pakistan,Austria,194
Afghanistan,Austria,377
Armenia,Austria,199.5
Russia,Austria,176
Albania,Sweden,442.5
Kosovo,Sweden,288
Nigeria,Sweden,142.5
Serbia,Sweden,320
Georgia,Sweden,149.5
Macedonia,Sweden,64
Pakistan,Sweden,52
Afghanistan,Sweden,415
Moldova,Sweden,3
Armenia,Sweden,67
Russia,Sweden,6
Bosnia and Herzegovina,Sweden,24
Albania,Belgium,743
Kosovo,Belgium,32
Nigeria,Belgium,80
Serbia,Belgium,42
Georgia,Belgium,27.5
Macedonia,Belgium,9
Pakistan,Belgium,30
Afghanistan,Belgium,3
Armenia,Belgium,21.5
Bosnia and Herzegovina,Belgium,6
Albania,Greece,9
Nigeria,Greece,183.5
Serbia,Greece,11
Georgia,Greece,204
Pakistan,Greece,617
Afghanistan,Greece,11
Colombia,Greece,2.5
Armenia,Greece,17
Albania,Hungary,23
Kosovo,Hungary,766.5
Nigeria,Hungary,89.5
Georgia,Hungary,16.5
Macedonia,Hungary,0.5
Pakistan,Hungary,78
Afghanistan,Hungary,38
Colombia,Hungary,1
Armenia,Hungary,9
Russia,Hungary,1
Bosnia and Herzegovina,Hungary,0.5
Albania,Norway,2.5
Kosovo,Norway,77
Nigeria,Norway,477
Serbia,Norway,7
Georgia,Norway,8.5
Pakistan,Norway,22
Russia,Norway,1
Albania,Ireland,34
Nigeria,Ireland,531.5
Serbia,Ireland,5
Georgia,Ireland,39.5
Pakistan,Ireland,55
Armenia,Ireland,3.5
Albania,United Kingdom,147
Kosovo,United Kingdom,20
Nigeria,United Kingdom,434.5
Georgia,United Kingdom,2
Pakistan,United Kingdom,43
Albania,Iceland,323.5
Kosovo,Iceland,13.5
Nigeria,Iceland,4
Serbia,Iceland,21.5
Georgia,Iceland,81
Macedonia,Iceland,240
Armenia,Iceland,1.5
Albania,Netherlands,199.5
Kosovo,Netherlands,4
Nigeria,Netherlands,239
Serbia,Netherlands,9.5
Georgia,Netherlands,4
Pakistan,Netherlands,8
Colombia,Netherlands,3
Armenia,Netherlands,7
Ecuador,Netherlands,3
Nigeria,Switzerland,235.5
Georgia,Switzerland,83
Pakistan,Switzerland,23.5
Colombia,Switzerland,6.5
Moldova,Switzerland,5
Armenia,Switzerland,12.5
Russia,Switzerland,19
