DEST,MSNAME,N_RETURNEES
Albania,Germany,9135.5
Tunisia,Germany,1074
Kosovo,Germany,6132
Nigeria,Germany,1091.5
Serbia,Germany,6845
Georgia,Germany,3868.5
Pakistan,Germany,1390
Macedonia,Germany,2367.5
Afghanistan,Germany,1104
Moldova,Germany,2141
Colombia,Germany,1.5
Armenia,Germany,976.5
Russia,Germany,831
Ecuador,Germany,0.5
Egypt,Germany,116
Albania,Italy,63
Tunisia,Italy,8348
Kosovo,Italy,1
Nigeria,Italy,1977.5
Serbia,Italy,3
Georgia,Italy,108
Pakistan,Italy,25
Colombia,Italy,15.5
Armenia,Italy,5
Ecuador,Italy,17.5
Egypt,Italy,705
Albania,France,5982.5
Kosovo,France,151.5
Nigeria,France,115
Serbia,France,21.5
Georgia,France,395.5
Pakistan,France,51
Macedonia,France,2.5
Afghanistan,France,1
Moldova,France,5
Colombia,France,14.5
Armenia,France,24.5
Ecuador,France,12.5
Egypt,France,1
Albania,Spain,559
Nigeria,Spain,529
Serbia,Spain,14.5
Georgia,Spain,637.5
Pakistan,Spain,191
Macedonia,Spain,3
Colombia,Spain,1945.5
Armenia,Spain,46.5
Ecuador,Spain,832.5
Albania,Austria,196.5
Kosovo,Austria,1073.5
Nigeria,Austria,1008
Serbia,Austria,63
Georgia,Austria,521
Pakistan,Austria,220
Macedonia,Austria,38
Afghanistan,Austria,429
Armenia,Austria,209.5
Russia,Austria,218
Albania,Sweden,453.5
Kosovo,Sweden,294
Nigeria,Sweden,142.5
Serbia,Sweden,321
Georgia,Sweden,164.5
Pakistan,Sweden,53
Macedonia,Sweden,64
Afghanistan,Sweden,444
Moldova,Sweden,3
Colombia,Sweden,5
Armenia,Sweden,68
Russia,Sweden,6
Albania,Belgium,749
Kosovo,Belgium,33
Nigeria,Belgium,80
Serbia,Belgium,42
Georgia,Belgium,27.5
Pakistan,Belgium,30
Macedonia,Belgium,9
Afghanistan,Belgium,5
Armenia,Belgium,21.5
Russia,Belgium,5
Albania,Greece,9
Nigeria,Greece,183.5
Serbia,Greece,11
Georgia,Greece,240
Pakistan,Greece,702
Afghanistan,Greece,11
Colombia,Greece,2.5
Armenia,Greece,17
Egypt,Greece,0.5
Albania,Hungary,23
Kosovo,Hungary,766.5
Nigeria,Hungary,96.5
Georgia,Hungary,16.5
Pakistan,Hungary,78
Macedonia,Hungary,0.5
Afghanistan,Hungary,43
Colombia,Hungary,1
Armenia,Hungary,9
Russia,Hungary,1
Egypt,Hungary,2
Albania,Norway,2.5
Kosovo,Norway,77
Nigeria,Norway,482
Serbia,Norway,7
Georgia,Norway,8.5
Pakistan,Norway,22
Russia,Norway,1
Egypt,Norway,1
Albania,Ireland,34
Nigeria,Ireland,531.5
Serbia,Ireland,5
Georgia,Ireland,39.5
Pakistan,Ireland,55
Armenia,Ireland,3.5
Albania,United Kingdom,147
Kosovo,United Kingdom,20
Nigeria,United Kingdom,434.5
Georgia,United Kingdom,2
Pakistan,United Kingdom,43
Albania,Iceland,323.5
Kosovo,Iceland,13.5
Nigeria,Iceland,4
Serbia,Iceland,21.5
Georgia,Iceland,87
Macedonia,Iceland,240
Armenia,Iceland,1.5
Nigeria,Switzerland,235.5
Georgia,Switzerland,84
Pakistan,Switzerland,24.5
Moldova,Switzerland,5
Colombia,Switzerland,7.5
Armenia,Switzerland,12.5
Russia,Switzerland,19
Egypt,Switzerland,5.5
Albania,Netherlands,190.5
Kosovo,Netherlands,3
Nigeria,Netherlands,231
Serbia,Netherlands,9.5
Georgia,Netherlands,3
Pakistan,Netherlands,8
Colombia,Netherlands,3
Armenia,Netherlands,7
Ecuador,Netherlands,3
