ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,FX_CONTRIB
2006_1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2007_1,JRO,28,NA,NA,NA,NA,NA,NA,NA,NA
2007_10,JRO,57,NA,NA,NA,NA,NA,NA,NA,NA
2007_11,JRO,48,NA,NA,NA,NA,NA,NA,NA,NA
2007_12,JRO,13,NA,NA,NA,NA,NA,NA,NA,NA
2007_13,JRO,23,NA,NA,NA,NA,NA,NA,NA,NA
2007_2,JRO,50,NA,NA,NA,NA,NA,NA,NA,NA
2007_3,JRO,21,NA,NA,NA,NA,NA,NA,NA,NA
2007_4,JRO,26,NA,NA,NA,NA,NA,NA,NA,NA
2007_5,JRO,22,NA,NA,NA,NA,NA,NA,NA,NA
2007_6,JRO,75,NA,NA,NA,NA,NA,NA,NA,NA
2007_7,JRO,36,NA,NA,NA,NA,NA,NA,NA,NA
2007_8,JRO,13,NA,NA,NA,NA,NA,NA,NA,NA
2007_9,JRO,16,NA,NA,NA,NA,NA,NA,NA,NA
2008_1,JRO,26,NA,NA,NA,NA,NA,NA,NA,NA
2008_10,JRO,31,NA,NA,NA,NA,NA,NA,NA,NA
2008_11,JRO,80,NA,NA,NA,NA,NA,NA,NA,NA
2008_12,JRO,44,NA,NA,NA,NA,NA,NA,NA,NA
2008_13,JRO,69,NA,NA,NA,NA,NA,NA,NA,NA
2008_14,JRO,91,NA,NA,NA,NA,NA,NA,NA,NA
2008_15,JRO,34,NA,NA,NA,NA,NA,NA,NA,NA
2008_2,JRO,103,NA,NA,NA,NA,NA,NA,NA,NA
2008_3,JRO,6,NA,NA,NA,NA,NA,NA,NA,NA
2008_4,JRO,51,NA,NA,NA,NA,NA,NA,NA,NA
2008_5,JRO,17,NA,NA,NA,NA,NA,NA,NA,NA
2008_6,JRO,69,NA,NA,NA,NA,NA,NA,NA,NA
2008_7,JRO,99,NA,NA,NA,NA,NA,NA,NA,NA
2008_8,JRO,38,NA,NA,NA,NA,NA,NA,NA,NA
2008_9,JRO,41,NA,NA,NA,NA,NA,NA,NA,NA
2009_1,JRO,86,NA,159,NA,NA,NA,NA,NA,NA
2009_10,JRO,62,NA,146,NA,NA,NA,NA,NA,296930.93
2009_11,JRO,32,NA,49,NA,NA,NA,NA,NA,75416.85
2009_12,JRO,40,NA,69,NA,NA,NA,NA,NA,171091.38
2009_13,JRO,29,NA,65,NA,NA,NA,NA,NA,NA
2009_14,JRO,35,NA,113,NA,NA,NA,NA,NA,312984.63
2009_15,JRO,112,NA,54,NA,NA,NA,NA,NA,379317.7
2009_16,JRO,42,NA,96,NA,NA,NA,NA,NA,224007.68
2009_17,JRO,96,NA,158,NA,NA,NA,NA,NA,NA
2009_18,JRO,50,NA,133,NA,NA,NA,NA,NA,NA
