DATE,ROID,ID,MSNAME,MSISO,N_RETURNEES,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,FX_CONTRIB,OPTYPE,NOTES_COMMENTS,N_ESC_POOL,N_MONITORS_POOL
2006-06-01,NA,2006_1,Austria,AUT,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-31,NA,2006_1,France,FRA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-31,NA,2006_1,Poland,POL,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-14,NA,2007_1,Germany,DEU,12,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-02-15,NA,2007_1,Italy,ITA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-02-16,NA,2007_1,Luxembourg,LUX,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-02-17,NA,2007_1,Poland,POL,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-02-18,NA,2007_1,Spain,ESP,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-02-19,NA,2007_1,Switzerland,CHE,6,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-10-24,NA,2007_10,France,FRA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-10-24,NA,2007_10,Italy,ITA,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-10-24,NA,2007_10,Netherlands,NLD,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-10-24,NA,2007_10,Poland,POL,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-10-24,NA,2007_10,Spain,ESP,47,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-12-06,NA,2007_11,Austria,AUT,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-12-06,NA,2007_11,Germany,DEU,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-12-06,NA,2007_11,Italy,ITA,40,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-12-06,NA,2007_11,Switzerland,CHE,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-11-20,NA,2007_12,Romania,ROU,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-11-20,NA,2007_12,Switzerland,CHE,12,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-11-27,NA,2007_13,France,FRA,6,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-11-27,NA,2007_13,Spain,ESP,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-11-27,NA,2007_13,Switzerland,CHE,13,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-06,NA,2007_2,Italy,ITA,40,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-07,NA,2007_2,Austria,AUT,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-08,NA,2007_2,France,FRA,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-09,NA,2007_2,Germany,DEU,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-10,NA,2007_2,Romania,ROU,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-11,NA,2007_2,Spain,ESP,3,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-14,NA,2007_3,Netherlands,NLD,12,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-15,NA,2007_3,Germany,DEU,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-16,NA,2007_3,France,FRA,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-03-17,NA,2007_3,Switzerland,CHE,5,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-04-25,NA,2007_4,Germany,DEU,16,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-04-26,NA,2007_4,France,FRA,4,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-04-27,NA,2007_4,Poland,POL,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-04-28,NA,2007_4,Luxembourg,LUX,1,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
2007-04-29,NA,2007_4,Netherlands,NLD,2,NA,NA,NA,NA,NA,NA,NA,JRO,NA,NA,NA
