ROWID,N_RETURNEES,DEST,check_ESC_OBS_MED_by_dest,N_ESC,N_ESC_LEAD
2018_1,28,Tunisia,TRUE,80,NA
2018_2,4,Lebanon,TRUE,18,1
2018_3,29,Tunisia,TRUE,68,1
2018_4,47,Serbia,TRUE,29,1
2018_6,90,Albania,TRUE,33,1
2018_8,24,Albania,TRUE,27,2
2018_9,6,Albania,NA,NA,NA
2018_11,18,Tunisia,TRUE,60,1
2018_12,13,Albania,TRUE,29,1
2018_13,1,Albania,NA,NA,NA
2018_14,16,Pakistan,TRUE,54,1
2018_15,6,Pakistan,TRUE,13,1
2018_18,5,Moldova,TRUE,14,1
2018_19,1,Moldova,TRUE,2,1
2018_21,17,Albania,TRUE,29,1
2018_22,6,Albania,NA,NA,NA
2018_25,16,Albania,TRUE,36,1
2018_26,15,Albania,TRUE,21,1
2018_27,1,Albania,TRUE,2,1
2018_29,3,Serbia,TRUE,10,1
2018_30,16,Serbia,TRUE,21,1
2018_31,38,Nigeria,TRUE,112,1
2018_32,1,Nigeria,TRUE,3,1
2018_33,5,Nigeria,TRUE,10,1
2018_35,35,Tunisia,TRUE,81,0
2018_36,52,Georgia,TRUE,39,2
2018_37,6,Georgia,NA,NA,NA
2018_38,2,Georgia,NA,NA,NA
2018_39,5,Georgia,NA,NA,NA
2018_42,31,Russia,TRUE,32,1
2018_43,6,Russia,TRUE,20,1
2018_45,19,Afghanistan,TRUE,56,1
2018_48,49,Serbia,TRUE,24,1
2018_49,4,Serbia,NA,NA,NA
2018_51,3,Burkina Faso,TRUE,13,1
2018_52,27,Tunisia,TRUE,76,NA
2018_53,131,Albania,TRUE,43,1
2018_54,6,Albania,TRUE,13,1
2018_56,42,Armenia,TRUE,52,1
2018_58,18,Georgia,TRUE,29,1
2018_59,2,Georgia,TRUE,4,1
2018_61,17,Pakistan,TRUE,47,2
2018_63,1,Pakistan,TRUE,2,1
2018_64,2,Pakistan,TRUE,6,1
2018_66,25,Tunisia,TRUE,65,1
2018_68,22,Albania,TRUE,28,1
2018_69,1,Albania,NA,NA,NA
2018_72,12,Nigeria,TRUE,40,1
2018_73,20,Nigeria,TRUE,33,1
2018_74,8,Nigeria,TRUE,20,1
2018_75,4,Nigeria,TRUE,5,1
2018_76,3,Nigeria,TRUE,10,1
2018_77,2,Nigeria,TRUE,6,1
2018_78,1,Nigeria,TRUE,2,1
2018_80,28,Tunisia,TRUE,70,NA
2018_81,9,Armenia,TRUE,15,1
2018_82,39,Tunisia,TRUE,86,NA
