ROID,DATE,MSISO,FX_CONTRIB,MSNAME,N_ESC_LEAD,N_ESC,FRESO_AP_CAT_1,FRESO_AP_CAT_2,FRESO_HQ_CAT_1,FRESO_HQ_CAT_2,FRESO_CAT_3,N_MEDS,N_OBS_MS,N_OBS_TC,N_MONITORS_NAT,N_MONITORS_POOL_MS,N_MONITORS_FX,N_MONITORS,N_OBS,N_ESC_OBS_MED
RO-00923,03/01/2019,ITA,60600,Italy,1,76,0,0,0,0,0,2,0,0,0,0,0,0,0,79
RO-00891,03/01/2019,DEU,89576.4,Germany,1,40,0,0,0,0,0,4,0,0,0,1,0,1,0,45
RO-00896,04/01/2019,DEU,179306.11,Germany,1,13,0,0,0,0,0,1,0,0,0,1,0,1,0,15
RO-00868,07/01/2019,DEU,473072.07,Germany,1,110,0,0,0,0,0,1,0,0,0,1,0,1,0,112
RO-00898,08/01/2019,NLD,1361.27,Netherlands,2,7,0,0,0,0,0,1,0,0,2,0,0,2,0,10
RO-00898,08/01/2019,ESP,NA,Spain,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
RO-00925,10/01/2019,ITA,43430,Italy,0,77,0,0,0,0,0,2,0,0,2,0,0,2,0,79
RO-00892,14/01/2019,DEU,73790.38,Germany,1,38,0,0,0,0,0,4,0,0,0,1,0,1,0,43
RO-00888,15/01/2019,DEU,82944.6,Germany,1,40,0,0,0,0,0,2,0,0,0,1,0,1,0,43
RO-00902,15/01/2019,FRA,43317.92,France,2,32,0,0,0,0,0,2,3,0,0,1,0,1,3,39
RO-00902,15/01/2019,BEL,88.31,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00874,15/01/2019,AUT,176343.82,Austria,1,32,0,0,0,0,0,3,0,0,1,0,0,1,0,36
RO-00874,15/01/2019,IRL,NA,Ireland,1,24,0,0,0,0,0,2,0,0,1,0,0,1,0,27
RO-00886,16/01/2019,DEU,91894.27,Germany,1,71,0,0,0,0,0,2,0,0,0,1,0,1,0,74
RO-00887,17/01/2019,DEU,107174.71,Germany,1,44,0,0,0,0,0,1,0,0,0,1,0,1,0,46
RO-00887,17/01/2019,CHE,28711.88,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00934,17/01/2019,ITA,39895,Italy,1,40,0,0,0,0,0,2,0,0,0,0,0,0,0,43
RO-00904,22/01/2019,FRA,41541.22,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-00904,22/01/2019,BEL,88.31,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00901,22/01/2019,DEU,268825.18,Germany,0,46,0,0,0,0,0,2,0,0,0,2,0,2,0,48
RO-00879,22/01/2019,DEU,275038.15,Germany,1,80,0,0,0,0,0,2,0,0,0,1,0,1,0,83
RO-00941,22/01/2019,ITA,53530,Italy,2,72,0,0,0,0,0,2,0,0,0,0,0,0,0,76
RO-00871,22/01/2019,AUT,58797.1,Austria,1,36,0,0,0,0,0,3,0,0,1,0,0,1,0,40
RO-00944,24/01/2019,ITA,39379.9,Italy,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,54
RO-00882,24/01/2019,DEU,105258.11,Germany,2,37,0,0,0,0,0,1,0,0,0,1,0,1,0,40
RO-00882,24/01/2019,FRA,4886.49,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00882,24/01/2019,SWE,14569.6,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00951,28/01/2019,ITA,37269,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RO-00907,29/01/2019,DEU,275361.83,Germany,1,57,0,0,0,0,0,2,0,0,0,1,0,1,0,60
RO-00905,29/01/2019,FRA,43533.66,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-00905,29/01/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00889,29/01/2019,DEU,167861.5,Germany,1,45,0,0,0,0,0,2,1,0,2,0,0,2,1,49
RO-00885,29/01/2019,DEU,35990.48,Germany,3,27,0,0,0,0,0,3,2,0,0,1,0,1,2,35
RO-00857,30/01/2019,AUT,380560.69,Austria,1,51,0,0,0,0,0,3,0,0,1,0,0,1,0,55
RO-00857,30/01/2019,CHE,54161.84,Switzerland,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
RO-00857,30/01/2019,DEU,12404.33,Germany,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,30
RO-00857,30/01/2019,DEU,12404.33,Germany,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
RO-00857,30/01/2019,NOR,50483.84,Norway,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RO-00857,30/01/2019,SWE,22236.7,Sweden,1,12,0,0,0,0,0,0,0,0,1,0,0,1,0,13
RO-00857,30/01/2019,SWE,22236.7,Sweden,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RO-00857,30/01/2019,ITA,81385.36,Italy,1,16,0,0,0,0,0,0,0,0,1,0,0,1,0,17
RO-00928,05/02/2019,FRA,43541.64,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-00928,05/02/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00910,05/02/2019,DEU,76957.02,Germany,1,45,0,0,0,0,0,2,0,0,0,1,0,1,0,48
RO-00894,05/02/2019,AUT,152550.1,Austria,1,29,0,0,0,0,0,3,0,0,1,0,0,1,0,33
RO-00894,05/02/2019,DEU,21999.03,Germany,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,24
RO-00918,06/02/2019,DEU,95161.14,Germany,1,64,0,0,0,0,0,2,0,0,0,1,0,1,0,67
RO-00931,07/02/2019,ESP,199379.39,Spain,1,68,0,0,0,0,0,2,0,0,2,0,0,2,0,71
RO-00937,09/02/2019,ITA,125822.21,Italy,1,85,0,0,0,0,0,4,0,0,0,0,0,0,0,90
