RO-ID,Date of Departure type of operation,,MSSAC,Destination(s),Number of TCNs,
RO-01178,07/01/2020 NRO,,Germany,Pakistan,,31
RO-01178 Total,,,,,,31
RO-01179,04/02/2020 JRO,,Germany,Pakistan,,47
"",,,Poland,Pakistan,,2
RO-01179 Total,,,,,,49
RO-01180,03/03/2020 JRO,,Austria,Pakistan,,8
"",,,Germany,Pakistan,,34
"",,,Sweden,Pakistan,,3
RO-01180 Total,,,,,,45
RO-01186,14/07/2020 JRO,,Germany,Pakistan,,19
"",,,Greece,Pakistan,,10
RO-01186 Total,,,,,,29
RO-01187,14/01/2020 NRO,,Germany,Afghanistan,,37
RO-01187 Total,,,,,,37
RO-01188,12/02/2020 NRO,,Germany,Afghanistan,,31
RO-01188 Total,,,,,,31
RO-01193,16/01/2020 CRO,,France,Georgia,,5
"",,,Germany,Georgia,,29
"",,,Sweden,Georgia,,2
RO-01193 Total,,,,,,36
RO-01194,11/02/2020 CRO,,Germany,Georgia,,81
"",,,Italy,Georgia,,3
RO-01194 Total,,,,,,84
RO-01195,05/03/2020 CRO,,France,Georgia,,5
"",,,Germany,Georgia,,42
"",,,Italy,Georgia,,5
RO-01195 Total,,,,,,52
RO-01204,22/01/2020 JRO,,Austria,Nigeria,,12
"",,,Belgium,Nigeria,,2
"",,,Germany,Nigeria,,20
"",,,Greece,Nigeria,,1
RO-01204 Total,,,,,,35
RO-01205,19/02/2020 JRO,,Austria,Nigeria,,17
"",,,Austria,The Gambia,,1
"",,,Hungary,Nigeria,,2
"",,,Hungary,The Gambia,,1
"",,,Luxembourg,Nigeria,,7
"",,,Sweden,Nigeria,,3
"",,,Sweden,The Gambia,,4
RO-01205 Total,,,,,,35
RO-01210,13/02/2020 NRO,,Austria,Armenia,,1
"",,,Austria,Georgia,,3
RO-01210 Total,,,,,,4
RO-01211,07/05/2020 NRO,,Austria,Georgia,,7
RO-01211 Total,,,,,,7
RO-01212,11/03/2020 NRO,,Austria,Russia,,5
RO-01212 Total,,,,,,5
RO-01219,05/02/2020 JRO,,Austria,Afghanistan,,18
"",,,Bulgaria,Afghanistan,,2
"",,,Greece,Afghanistan,,2
"",,,Sweden,Afghanistan,,24
RO-01219 Total,,,,,,46
RO-01220,04/03/2020 JRO,,Bulgaria,Afghanistan,,1
"",,,Sweden,Afghanistan,,22
RO-01220 Total,,,,,,23
RO-ID,Date of Departure type of operation,,MSSAC,Destination(s),Number of TCNs,
RO-01231,06/02/2020 JRO,,Germany,Nigeria,,10
"",,,Norway,Nigeria,,1
RO-01231 Total,,,,,,11
RO-01233,26/02/2020 JRO,,Germany,Nigeria,,27
"",,,Poland,Nigeria,,1
RO-01233 Total,,,,,,28
RO-01237,30/01/2020 NRO,,Germany,Ghana,,21
RO-01237 Total,,,,,,21
RO-01263,23/01/2020 JRO,,Finland,Kosovo*,,3
"",,,Germany,Kosovo*,,14
"",,,Germany,Albania,,59
RO-01263 Total,,,,,,76
RO-01264,28/01/2020 NRO,,Germany,North Macedonia,,19
"",,,Germany,Serbia,,59
RO-01264 Total,,,,,,78
RO-01281,03/03/2020 CRO,,Germany,Montenegro,,44
RO-01281 Total,,,,,,44
RO-01283,18/08/2020 JRO,,Austria,Pakistan,,7
"",,,Germany,Pakistan,,24
"",,,Poland,Pakistan,,2
RO-01283 Total,,,,,,33
RO-01284,07/09/2020 NRO,,Germany,Pakistan,,34
RO-01284 Total,,,,,,34
RO-01285,08/10/2020 JRO,,Germany,Pakistan,,36
"",,,Poland,Pakistan,,1
RO-01285 Total,,,,,,37
RO-01289,26/02/2020 JRO,,Austria,Afghanistan,,9
"",,,Bulgaria,Afghanistan,,1
"",,,Hungary,Afghanistan,,0
RO-01289 Total,,,,,,10
RO-01291,22/01/2020 NRO,,Germany,Tunisia,,18
RO-01291 Total,,,,,,18
RO-01292,05/02/2020 NRO,,Germany,Tunisia,,19
RO-01292 Total,,,,,,19
RO-01294,18/02/2020 NRO,,Germany,Azerbaijan,,21
RO-01294 Total,,,,,,21
RO-01295,28/01/2020 NRO,,Germany,Russia,,41
RO-01295 Total,,,,,,41
RO-01298,27/02/2020 NRO,,Germany,Azerbaijan,,29
RO-01298 Total,,,,,,29
RO-01299,21/01/2020 JRO,,Belgium,Guinea,,7
"",,,Germany,Guinea,,9
RO-01299 Total,,,,,,16
RO-01304,18/02/2020 NRO,,Germany,Serbia,,27
"",,,Germany,Moldova,,49
RO-01304 Total,,,,,,76
RO-01305,05/03/2020 NRO,,Germany,Albania,,7
"",,,Germany,Moldova,,50
RO-01305 Total,,,,,,57
RO-01306,15/06/2020 NRO,,Germany,Serbia,,47
RO-01306 Total,,,,,,47
RO-01307,20/01/2020 NRO,,Spain,Mauritania,,46
RO-01307 Total,,,,,,46
RO-01311,07/01/2020 CRO,,Belgium,Albania,,6
"",,,France,Albania,,41
RO-ID,Date of Departure type of operation,,MSSAC,Destination(s),Number of TCNs,
RO-01311 Total,,,,,,47
RO-01312,14/01/2020 CRO,,Belgium,Albania,,6
"",,,France,Albania,,23
RO-01312 Total,,,,,,29
